vegetable,month,segment,value,unit,status
Arugula Raab,Jan,1,2.5,bunch,early
Arugula Raab,Jan,2,2.5,bunch,early
Arugula Raab,Jan,3,2.5,bunch,early
Arugula Raab,Feb,1,2.5,bunch,peak
Arugula Raab,Feb,2,2.5,bunch,peak
Arugula Raab,Feb,3,2.5,bunch,peak
Arugula Raab,Mar,1,2.5,bunch,late
Arugula Raab,Mar,2,2.5,bunch,late
Arugula Raab,Mar,3,2.5,bunch,late
Arugula Raab,Apr,1,0,,none
Arugula Raab,Apr,2,0,,none
Arugula Raab,Apr,3,0,,none
Arugula Raab,May,1,0,,none
Arugula Raab,May,2,0,,none
Arugula Raab,May,3,0,,none
Arugula Raab,June,1,0,,none
Arugula Raab,June,2,0,,none
Arugula Raab,June,3,0,,none
Arugula Raab,July,1,0,,none
Arugula Raab,July,2,0,,none
Arugula Raab,July,3,0,,none
Arugula Raab,Aug,1,0,,none
Arugula Raab,Aug,2,0,,none
Arugula Raab,Aug,3,0,,none
Arugula Raab,Sep,1,0,,none
Arugula Raab,Sep,2,0,,none
Arugula Raab,Sep,3,0,,none
Arugula Raab,Oct,1,0,,none
Arugula Raab,Oct,2,0,,none
Arugula Raab,Oct,3,0,,none
Arugula Raab,Nov,1,0,,none
Arugula Raab,Nov,2,0,,none
Arugula Raab,Nov,3,0,,none
Arugula Raab,Dec,1,0,,none
Arugula Raab,Dec,2,0,,none
Arugula Raab,Dec,3,0,,none
