vegetable,month,segment,value,unit,status
Arugula,Jan,1,3.99,lb,peak
Arugula,Jan,2,3.99,lb,peak
Arugula,Jan,3,3.99,lb,peak
Arugula,Feb,1,3.99,lb,peak
Arugula,Feb,2,4.99,lb,late
Arugula,Feb,3,4.99,lb,late
Arugula,Mar,1,4.99,lb,late
Arugula,Mar,2,4.99,lb,late
Arugula,Mar,3,4.99,lb,late
Arugula,Apr,1,4.99,lb,late
Arugula,Apr,2,4.99,lb,early
Arugula,Apr,3,4.99,lb,early
Arugula,May,1,3.99,lb,peak
Arugula,May,2,3.99,lb,peak
Arugula,May,3,3.99,lb,peak
Arugula,June,1,4.99,lb,late
Arugula,June,2,4.99,lb,late
Arugula,June,3,4.99,lb,late
Arugula,July,1,4.99,lb,late
Arugula,July,2,0,,none
Arugula,July,3,0,,none
Arugula,Aug,1,0,,none
Arugula,Aug,2,0,,none
Arugula,Aug,3,0,,none
Arugula,Sep,1,0,,none
Arugula,Sep,2,0,,none
Arugula,Sep,3,0,,none
Arugula,Oct,1,4.99,lb,early
Arugula,Oct,2,4.99,lb,early
Arugula,Oct,3,4.99,lb,early
Arugula,Nov,1,3.99,lb,peak
Arugula,Nov,2,3.99,lb,peak
Arugula,Nov,3,3.99,lb,peak
Arugula,Dec,1,3.99,lb,peak
Arugula,Dec,2,3.99,lb,peak
Arugula,Dec,3,3.99,lb,peak
