vegetable,month,segment,value,unit,status
Asparagus,Jan,1,0,,none
Asparagus,Jan,2,0,,none
Asparagus,Jan,3,0,,none
Asparagus,Feb,1,0,,none
Asparagus,Feb,2,0,,none
Asparagus,Feb,3,0,,none
Asparagus,Mar,1,0,,none
Asparagus,Mar,2,0,,none
Asparagus,Mar,3,0,,none
Asparagus,Apr,1,6,bunch,early
Asparagus,Apr,2,6,bunch,early
Asparagus,Apr,3,6,bunch,early
Asparagus,May,1,4.5,bunch,peak
Asparagus,May,2,4.5,bunch,peak
Asparagus,May,3,4.5,bunch,peak
Asparagus,June,1,4,bunch,peak
Asparagus,June,2,4,bunch,late
Asparagus,June,3,4,bunch,late
Asparagus,July,1,4,bunch,late
Asparagus,July,2,0,,none
Asparagus,July,3,0,,none
Asparagus,Aug,1,0,,none
Asparagus,Aug,2,0,,none
Asparagus,Aug,3,0,,none
Asparagus,Sep,1,0,,none
Asparagus,Sep,2,0,,none
Asparagus,Sep,3,0,,none
Asparagus,Oct,1,0,,none
Asparagus,Oct,2,0,,none
Asparagus,Oct,3,0,,none
Asparagus,Nov,1,0,,none
Asparagus,Nov,2,0,,none
Asparagus,Nov,3,0,,none
Asparagus,Dec,1,0,,none
Asparagus,Dec,2,0,,none
Asparagus,Dec,3,0,,none
