vegetable,month,segment,value,unit,status
Beet,Jan,1,4.99,bunch,peak
Beet,Jan,2,4.99,bunch,peak
Beet,Jan,3,4.99,bunch,peak
Beet,Feb,1,4.99,bunch,late
Beet,Feb,2,4.99,bunch,late
Beet,Feb,3,4.99,bunch,late
Beet,Mar,1,5.99,bunch,late
Beet,Mar,2,5.99,bunch,late
Beet,Mar,3,5.99,bunch,late
Beet,Apr,1,6.99,bunch,early
Beet,Apr,2,6.99,bunch,early
Beet,Apr,3,6.99,bunch,early
Beet,May,1,6.99,bunch,early
Beet,May,2,4.99,bunch,peak
Beet,May,3,4.99,bunch,peak
Beet,June,1,4.99,bunch,peak
Beet,June,2,4.99,bunch,peak
Beet,June,3,4.99,bunch,peak
Beet,July,1,4.99,bunch,peak
Beet,July,2,4.99,bunch,peak
Beet,July,3,4.99,bunch,peak
Beet,Aug,1,4.99,bunch,late
Beet,Aug,2,4.99,bunch,late
Beet,Aug,3,4.99,bunch,late
Beet,Sep,1,4.99,bunch,early
Beet,Sep,2,4.99,bunch,early
Beet,Sep,3,4.99,bunch,early
Beet,Oct,1,4.99,bunch,early
Beet,Oct,2,4.99,bunch,peak
Beet,Oct,3,4.99,bunch,peak
Beet,Nov,1,4.99,bunch,peak
Beet,Nov,2,4.99,bunch,peak
Beet,Nov,3,4.99,bunch,peak
Beet,Dec,1,4.99,bunch,peak
Beet,Dec,2,4.99,bunch,peak
Beet,Dec,3,4.99,bunch,peak
