vegetable,month,segment,value,unit,status
Bell Pepper,Jan,1,0,lb,none
Bell Pepper,Jan,2,0,lb,none
Bell Pepper,Jan,3,0,lb,none
Bell Pepper,Feb,1,0,lb,none
Bell Pepper,Feb,2,0,lb,none
Bell Pepper,Feb,3,0,lb,none
Bell Pepper,Mar,1,0,lb,none
Bell Pepper,Mar,2,0,lb,none
Bell Pepper,Mar,3,0,lb,none
Bell Pepper,Apr,1,0,lb,none
Bell Pepper,Apr,2,0,lb,none
Bell Pepper,Apr,3,0,lb,none
Bell Pepper,May,1,0,lb,none
Bell Pepper,May,2,0,lb,none
Bell Pepper,May,3,0,lb,none
Bell Pepper,June,1,0,lb,none
Bell Pepper,June,2,6,lb,early
Bell Pepper,June,3,6,lb,early
Bell Pepper,July,1,6,lb,early
Bell Pepper,July,2,4,lb,peak
Bell Pepper,July,3,4,lb,peak
Bell Pepper,Aug,1,4,lb,peak
Bell Pepper,Aug,2,4,lb,peak
Bell Pepper,Aug,3,4,lb,peak
Bell Pepper,Sep,1,3.5,lb,peak
Bell Pepper,Sep,2,3.5,lb,peak
Bell Pepper,Sep,3,3.5,lb,late
Bell Pepper,Oct,1,2.5,lb,late
Bell Pepper,Oct,2,2.5,lb,late
Bell Pepper,Oct,3,0,lb,none
Bell Pepper,Nov,1,0,lb,none
Bell Pepper,Nov,2,0,lb,none
Bell Pepper,Nov,3,0,lb,none
Bell Pepper,Dec,1,0,lb,none
Bell Pepper,Dec,2,0,lb,none
Bell Pepper,Dec,3,0,lb,none
