vegetable,month,segment,value,unit,status
Broccolli,Jan,1,0,,none
Broccolli,Jan,2,0,,none
Broccolli,Jan,3,0,,none
Broccolli,Feb,1,0,,none
Broccolli,Feb,2,0,,none
Broccolli,Feb,3,0,,none
Broccolli,Mar,1,0,,none
Broccolli,Mar,2,0,,none
Broccolli,Mar,3,0,,none
Broccolli,Apr,1,0,,none
Broccolli,Apr,2,0,,none
Broccolli,Apr,3,0,,none
Broccolli,May,1,0,,none
Broccolli,May,2,0,,none
Broccolli,May,3,0,,none
Broccolli,June,1,3.99,lb,early
Broccolli,June,2,3.99,lb,early
Broccolli,June,3,3.99,lb,early
Broccolli,July,1,2.99,lb,peak
Broccolli,July,2,2.99,lb,peak
Broccolli,July,3,2.99,lb,peak
Broccolli,Aug,1,2.99,lb,peak
Broccolli,Aug,2,2.99,lb,peak
Broccolli,Aug,3,2.99,lb,peak
Broccolli,Sep,1,2.99,lb,peak
Broccolli,Sep,2,2.99,lb,peak
Broccolli,Sep,3,2.99,lb,peak
Broccolli,Oct,1,2.99,lb,peak
Broccolli,Oct,2,2.99,lb,late
Broccolli,Oct,3,2.99,lb,late
Broccolli,Nov,1,3.99,lb,late
Broccolli,Nov,2,3.99,lb,late
Broccolli,Nov,3,3.99,lb,late
Broccolli,Dec,1,0,,none
Broccolli,Dec,2,0,,none
Broccolli,Dec,3,0,,none
