vegetable,month,segment,value,unit,status
Brussels Sprouts,Jan,1,5.99,lb,peak
,Jan,2,5.99,lb,peak
,Jan,3,5.99,lb,peak
,Feb,1,5.99,lb,peak
,Feb,2,5.99,lb,peak
,Feb,3,0,,late
,Mar,1,0,,late
,Mar,2,0,,late
,Mar,3,0,,late
,Apr,1,0,,none
,Apr,2,0,,none
,Apr,3,0,,none
,May,1,0,,none
,May,2,0,,none
,May,3,0,,none
,June,1,0,,none
,June,2,0,,none
,June,3,0,,none
,July,1,0,,none
,July,2,0,,none
,July,3,0,,none
,Aug,1,0,,none
,Aug,2,0,,none
,Aug,3,0,,none
,Sep,1,4.99,lb,early
,Sep,2,4.99,lb,early
,Sep,3,4.99,lb,early
,Oct,1,5.99,lb,peak
,Oct,2,5.99,lb,peak
,Oct,3,5.99,lb,peak
,Nov,1,5.99,lb,peak
,Nov,2,5.99,lb,peak
,Nov,3,5.99,lb,peak
,Dec,1,5.99,lb,peak
,Dec,2,5.99,lb,peak
,Dec,3,5.99,lb,peak
