vegetable,month,segment,value,unit,status
Cabbage,Jan,1,1.99,lb,peak
Cabbage,Jan,2,1.99,lb,peak
Cabbage,Jan,3,1.99,lb,peak
Cabbage,Feb,1,1.99,lb,peak
Cabbage,Feb,2,1.99,lb,peak
Cabbage,Feb,3,1.99,lb,peak
Cabbage,Mar,1,1.99,lb,peak
Cabbage,Mar,2,1.99,lb,peak
Cabbage,Mar,3,1.99,lb,peak
Cabbage,Apr,1,1.99,lb,peak
Cabbage,Apr,2,1.99,lb,peak
Cabbage,Apr,3,1.99,lb,peak
Cabbage,May,1,1.99,lb,peak
Cabbage,May,2,1.99,lb,peak
Cabbage,May,3,1.99,lb,peak
Cabbage,June,1,1.99,lb,peak
Cabbage,June,2,1.99,lb,peak
Cabbage,June,3,1.99,lb,peak
Cabbage,July,1,1.99,lb,late
Cabbage,July,2,1.99,lb,late
Cabbage,July,3,1.99,lb,late
Cabbage,Aug,1,1.99,lb,late
Cabbage,Aug,2,1.99,lb,late
Cabbage,Aug,3,1.99,lb,early
Cabbage,Sep,1,1.99,lb,early
Cabbage,Sep,2,1.99,lb,early
Cabbage,Sep,3,1.99,lb,early
Cabbage,Oct,1,1.99,lb,peak
Cabbage,Oct,2,1.99,lb,peak
Cabbage,Oct,3,1.99,lb,peak
Cabbage,Nov,1,1.99,lb,peak
Cabbage,Nov,2,1.99,lb,peak
Cabbage,Nov,3,1.99,lb,peak
Cabbage,Dec,1,1.99,lb,peak
Cabbage,Dec,2,1.99,lb,peak
Cabbage,Dec,3,1.99,lb,peak
