vegetable,month,segment,value,unit,status
Carrots,Jan,1,4.99,bunch,peak
,Jan,2,4.99,bunch,peak
,Jan,3,4.99,bunch,peak
,Feb,1,4.99,bunch,late
,Feb,2,4.99,bunch,late
,Feb,3,4.99,bunch,late
,Mar,1,5.99,bunch,late
,Mar,2,5.99,bunch,late
,Mar,3,5.99,bunch,late
,Apr,1,6.99,bunch,early
,Apr,2,6.99,bunch,early
,Apr,3,6.99,bunch,early
,May,1,6.99,bunch,early
,May,2,4.99,bunch,peak
,May,3,4.99,bunch,peak
,June,1,4.99,bunch,peak
,June,2,4.99,bunch,peak
,June,3,4.99,bunch,peak
,July,1,4.99,bunch,peak
,July,2,4.99,bunch,peak
,July,3,4.99,bunch,peak
,Aug,1,4.99,bunch,late
,Aug,2,4.99,bunch,late
,Aug,3,4.99,bunch,late
,Sep,1,4.99,bunch,early
,Sep,2,4.99,bunch,early
,Sep,3,4.99,bunch,early
,Oct,1,4.99,bunch,early
,Oct,2,4.99,bunch,peak
,Oct,3,4.99,bunch,peak
,Nov,1,4.99,bunch,peak
,Nov,2,4.99,bunch,peak
,Nov,3,4.99,bunch,peak
,Dec,1,4.99,bunch,peak
,Dec,2,4.99,bunch,peak
,Dec,3,4.99,bunch,peak
