vegetable,month,segment,value,unit,status
Cauliflower,Jan,1,3.99,lb,late
Cauliflower,Jan,2,3.99,lb,late
Cauliflower,Jan,3,3.99,lb,late
Cauliflower,Feb,1,3.99,lb,late
Cauliflower,Feb,2,3.99,lb,late
Cauliflower,Feb,3,3.99,lb,late
Cauliflower,Mar,1,0,,none
Cauliflower,Mar,2,0,,none
Cauliflower,Mar,3,0,,none
Cauliflower,Apr,1,0,,none
Cauliflower,Apr,2,0,,none
Cauliflower,Apr,3,0,,none
Cauliflower,May,1,0,,none
Cauliflower,May,2,0,,none
Cauliflower,May,3,0,,none
Cauliflower,June,1,0,,none
Cauliflower,June,2,0,,none
Cauliflower,June,3,0,,none
Cauliflower,July,1,0,,none
Cauliflower,July,2,0,,none
Cauliflower,July,3,0,,none
Cauliflower,Aug,1,0,,none
Cauliflower,Aug,2,0,,none
Cauliflower,Aug,3,0,,none
Cauliflower,Sep,1,3.99,lb,early
Cauliflower,Sep,2,3.99,lb,early
Cauliflower,Sep,3,3.99,lb,early
Cauliflower,Oct,1,4.99,lb,peak
Cauliflower,Oct,2,4.99,lb,peak
Cauliflower,Oct,3,4.99,lb,peak
Cauliflower,Nov,1,4.99,lb,peak
Cauliflower,Nov,2,4.99,lb,peak
Cauliflower,Nov,3,4.99,lb,peak
Cauliflower,Dec,1,4.99,lb,peak
Cauliflower,Dec,2,4.99,lb,peak
Cauliflower,Dec,3,4.99,lb,peak
