vegetable,month,segment,value,unit,status
Celery,Jan,1,1.99,bunch,late
Celery,Jan,2,1.99,bunch,late
Celery,Jan,3,1.99,bunch,late
Celery,Feb,1,0,,none
Celery,Feb,2,0,,none
Celery,Feb,3,0,,none
Celery,Mar,1,0,,none
Celery,Mar,2,0,,none
Celery,Mar,3,0,,none
Celery,Apr,1,1.99,bunch,early
Celery,Apr,2,1.99,bunch,early
Celery,Apr,3,1.99,bunch,early
Celery,May,1,1.99,bunch,early
Celery,May,2,1.99,bunch,peak
Celery,May,3,1.99,bunch,peak
Celery,June,1,1.99,bunch,peak
Celery,June,2,1.99,bunch,peak
Celery,June,3,1.99,bunch,peak
Celery,July,1,1.99,bunch,peak
Celery,July,2,1.99,bunch,peak
Celery,July,3,1.99,bunch,peak
Celery,Aug,1,1.99,bunch,peak
Celery,Aug,2,1.99,bunch,peak
Celery,Aug,3,1.99,bunch,peak
Celery,Sep,1,1.99,bunch,peak
Celery,Sep,2,1.99,bunch,peak
Celery,Sep,3,1.99,bunch,peak
Celery,Oct,1,1.99,bunch,peak
Celery,Oct,2,1.99,bunch,peak
Celery,Oct,3,1.99,bunch,peak
Celery,Nov,1,1.99,bunch,peak
Celery,Nov,2,1.99,bunch,peak
Celery,Nov,3,1.99,bunch,peak
Celery,Dec,1,1.99,bunch,peak
Celery,Dec,2,1.99,bunch,peak
Celery,Dec,3,1.99,bunch,peak
