vegetable,month,segment,value,unit,status
Chanterelle,Jan,1,0,,none
Chanterelle,Jan,2,0,,none
Chanterelle,Jan,3,0,,none
Chanterelle,Feb,1,0,,none
Chanterelle,Feb,2,0,,none
Chanterelle,Feb,3,0,,none
Chanterelle,Mar,1,0,,none
Chanterelle,Mar,2,0,,none
Chanterelle,Mar,3,0,,none
Chanterelle,Apr,1,0,,none
Chanterelle,Apr,2,0,,none
Chanterelle,Apr,3,0,,none
Chanterelle,May,1,0,,none
Chanterelle,May,2,0,,none
Chanterelle,May,3,0,,none
Chanterelle,June,1,0,,none
Chanterelle,June,2,0,,none
Chanterelle,June,3,0,,none
Chanterelle,July,1,0,,none
Chanterelle,July,2,0,,none
Chanterelle,July,3,0,,none
Chanterelle,Aug,1,22,lb,early
Chanterelle,Aug,2,22,lb,early
Chanterelle,Aug,3,22,lb,early
Chanterelle,Sep,1,16,lb,peak
Chanterelle,Sep,2,16,lb,peak
Chanterelle,Sep,3,16,lb,peak
Chanterelle,Oct,1,16,lb,peak
Chanterelle,Oct,2,16,lb,peak
Chanterelle,Oct,3,14,lb,peak
Chanterelle,Nov,1,14,lb,peak
Chanterelle,Nov,2,14,lb,late
Chanterelle,Nov,3,14,lb,late
Chanterelle,Dec,1,16,lb,late
Chanterelle,Dec,2,16,lb,late
Chanterelle,Dec,3,16,lb,late
