vegetable,month,segment,value,unit,status
Corn,Jan,1,0,,none
Corn,Jan,2,0,,none
Corn,Jan,3,0,,none
Corn,Feb,1,0,,none
Corn,Feb,2,0,,none
Corn,Feb,3,0,,none
Corn,Mar,1,0,,none
Corn,Mar,2,0,,none
Corn,Mar,3,0,,none
Corn,Apr,1,0,,none
Corn,Apr,2,0,,none
Corn,Apr,3,0,,none
Corn,May,1,0,,none
Corn,May,2,0,,none
Corn,May,3,0,,none
Corn,June,1,0,,none
Corn,June,2,0,,none
Corn,June,3,0,,none
Corn,July,1,3.5,lb,early
Corn,July,2,3.5,lb,early
Corn,July,3,3.5,lb,early
Corn,Aug,1,3,lb,peak
Corn,Aug,2,3,lb,peak
Corn,Aug,3,3,lb,peak
Corn,Sep,1,3,lb,peak
Corn,Sep,2,3,lb,peak
Corn,Sep,3,3,lb,peak
Corn,Oct,1,3,lb,peak
Corn,Oct,2,3,lb,peak
Corn,Oct,3,3,lb,peak
Corn,Nov,1,2.5,lb,late
Corn,Nov,2,2.5,lb,late
Corn,Nov,3,0,,none
Corn,Dec,1,0,,none
Corn,Dec,2,0,,none
Corn,Dec,3,0,,none
