vegetable,month,segment,value,unit,status
Cucumbers,Jan,1,0,,none
Cucumbers,Jan,2,0,,none
Cucumbers,Jan,3,0,,none
Cucumbers,Feb,1,0,,none
Cucumbers,Feb,2,0,,none
Cucumbers,Feb,3,0,,none
Cucumbers,Mar,1,0,,none
Cucumbers,Mar,2,0,,none
Cucumbers,Mar,3,0,,none
Cucumbers,Apr,1,0,,none
Cucumbers,Apr,2,0,,none
Cucumbers,Apr,3,0,,none
Cucumbers,May,1,0,,none
Cucumbers,May,2,0,,none
Cucumbers,May,3,0,,none
Cucumbers,June,1,0,,none
Cucumbers,June,2,0,,none
Cucumbers,June,3,0,,none
Cucumbers,July,1,0,,none
Cucumbers,July,2,0,,none
Cucumbers,July,3,2,lb,early
Cucumbers,Aug,1,2,lb,early
Cucumbers,Aug,2,2,lb,early
Cucumbers,Aug,3,1,lb,peak
Cucumbers,Sep,1,1,lb,peak
Cucumbers,Sep,2,1,lb,peak
Cucumbers,Sep,3,1,lb,peak
Cucumbers,Oct,1,1,lb,peak
Cucumbers,Oct,2,1,lb,peak
Cucumbers,Oct,3,0.5,lb,late
Cucumbers,Nov,1,0.5,lb,late
Cucumbers,Nov,2,0.5,lb,late
Cucumbers,Nov,3,0,,none
Cucumbers,Dec,1,0,,none
Cucumbers,Dec,2,0,,none
Cucumbers,Dec,3,0,,none
