vegetable,month,segment,value,unit,status
Eggplant,Jan,1,0,,none
Eggplant,Jan,2,0,,none
Eggplant,Jan,3,0,,none
Eggplant,Feb,1,0,,none
Eggplant,Feb,2,0,,none
Eggplant,Feb,3,0,,none
Eggplant,Mar,1,0,,none
Eggplant,Mar,2,0,,none
Eggplant,Mar,3,0,,none
Eggplant,Apr,1,0,,none
Eggplant,Apr,2,0,,none
Eggplant,Apr,3,0,,none
Eggplant,May,1,0,,none
Eggplant,May,2,0,,none
Eggplant,May,3,0,,none
Eggplant,June,1,0,,none
Eggplant,June,2,6,lb,early
Eggplant,June,3,6,lb,early
Eggplant,July,1,6,lb,early
Eggplant,July,2,4,lb,peak
Eggplant,July,3,4,lb,peak
Eggplant,Aug,1,4,lb,peak
Eggplant,Aug,2,4,lb,peak
Eggplant,Aug,3,4,lb,peak
Eggplant,Sep,1,3.5,lb,peak
Eggplant,Sep,2,3.5,lb,peak
Eggplant,Sep,3,3.5,lb,late
Eggplant,Oct,1,2.5,lb,late
Eggplant,Oct,2,2.5,lb,late
Eggplant,Oct,3,0,,late
Eggplant,Nov,1,0,,late
Eggplant,Nov,2,0,,late
Eggplant,Nov,3,0,,late
Eggplant,Dec,1,0,,none
Eggplant,Dec,2,0,,none
Eggplant,Dec,3,0,,none
