vegetable,month,segment,value,unit,status
Fava Bean,Jan,1,0,,none
Fava Bean,Jan,2,0,,none
Fava Bean,Jan,3,0,,none
Fava Bean,Feb,1,0,,none
Fava Bean,Feb,2,0,,none
Fava Bean,Feb,3,0,,none
Fava Bean,Mar,1,0,,none
Fava Bean,Mar,2,0,,none
Fava Bean,Mar,3,0,,none
Fava Bean,Apr,1,5,lb,early
Fava Bean,Apr,2,5,lb,early
Fava Bean,Apr,3,5,lb,early
Fava Bean,May,1,4,lb,peak
Fava Bean,May,2,4,lb,peak
Fava Bean,May,3,4,lb,peak
Fava Bean,June,1,4,lb,peak
Fava Bean,June,2,4,lb,peak
Fava Bean,June,3,3.5,lb,late
Fava Bean,July,1,3.5,lb,late
Fava Bean,July,2,3.5,lb,late
Fava Bean,July,3,0,,none
Fava Bean,Aug,1,0,,none
Fava Bean,Aug,2,0,,none
Fava Bean,Aug,3,0,,none
Fava Bean,Sep,1,0,,none
Fava Bean,Sep,2,0,,none
Fava Bean,Sep,3,0,,none
Fava Bean,Oct,1,0,,none
Fava Bean,Oct,2,0,,none
Fava Bean,Oct,3,0,,none
Fava Bean,Nov,1,0,,none
Fava Bean,Nov,2,0,,none
Fava Bean,Nov,3,0,,none
Fava Bean,Dec,1,0,,none
Fava Bean,Dec,2,0,,none
Fava Bean,Dec,3,0,,none
