vegetable,month,segment,value,unit,status
Garlic,Jan,1,6.99,lb,off
Garlic,Jan,2,6.99,lb,off
Garlic,Jan,3,6.99,lb,off
Garlic,Feb,1,6.99,lb,off
Garlic,Feb,2,6.99,lb,off
Garlic,Feb,3,6.99,lb,off
Garlic,Mar,1,6.99,lb,off
Garlic,Mar,2,6.99,lb,off
Garlic,Mar,3,6.99,lb,off
Garlic,Apr,1,6.99,lb,off
Garlic,Apr,2,6.99,lb,off
Garlic,Apr,3,6.99,lb,off
Garlic,May,1,6.99,lb,off
Garlic,May,2,8.99,lb,early
Garlic,May,3,8.99,lb,early
Garlic,June,1,8.99,lb,early
Garlic,June,2,7.99,lb,peak
Garlic,June,3,7.99,lb,peak
Garlic,July,1,7.99,lb,peak
Garlic,July,2,7.99,lb,late
Garlic,July,3,7.99,lb,late
Garlic,Aug,1,7.99,lb,late
Garlic,Aug,2,6.99,lb,off
Garlic,Aug,3,6.99,lb,off
Garlic,Sep,1,6.99,lb,off
Garlic,Sep,2,6.99,lb,off
Garlic,Sep,3,6.99,lb,off
Garlic,Oct,1,6.99,lb,off
Garlic,Oct,2,6.99,lb,off
Garlic,Oct,3,6.99,lb,off
Garlic,Nov,1,6.99,lb,off
Garlic,Nov,2,6.99,lb,off
Garlic,Nov,3,6.99,lb,off
Garlic,Dec,1,6.99,lb,off
Garlic,Dec,2,6.99,lb,off
Garlic,Dec,3,6.99,lb,off
