vegetable,month,segment,value,unit,status
Green Beans,Jan,1,0,,none
Green Beans,Jan,2,0,,none
Green Beans,Jan,3,0,,none
Green Beans,Feb,1,0,,none
Green Beans,Feb,2,0,,none
Green Beans,Feb,3,0,,none
Green Beans,Mar,1,0,,none
Green Beans,Mar,2,0,,none
Green Beans,Mar,3,0,,none
Green Beans,Apr,1,0,,none
Green Beans,Apr,2,0,,none
Green Beans,Apr,3,0,,none
Green Beans,May,1,0,,none
Green Beans,May,2,0,,none
Green Beans,May,3,0,,none
Green Beans,June,1,0,,none
Green Beans,June,2,3,lb,early
Green Beans,June,3,3,lb,early
Green Beans,July,1,3,lb,early
Green Beans,July,2,2,lb,peak
Green Beans,July,3,2,lb,peak
Green Beans,Aug,1,2,lb,peak
Green Beans,Aug,2,2,lb,peak
Green Beans,Aug,3,2,lb,peak
Green Beans,Sep,1,2,lb,peak
Green Beans,Sep,2,2,lb,peak
Green Beans,Sep,3,2,lb,peak
Green Beans,Oct,1,2,lb,peak
Green Beans,Oct,2,2,lb,peak
Green Beans,Oct,3,1.5,lb,late
Green Beans,Nov,1,1.5,lb,late
Green Beans,Nov,2,1.5,lb,late
Green Beans,Nov,3,0,,none
Green Beans,Dec,1,0,,none
Green Beans,Dec,2,0,,none
Green Beans,Dec,3,0,,none
