,,,,,,,
Data Inventory,,,,,,,
,,,,,,,
Product,Season Accuracy,Pricing Accuracy,Data Source 1,Data Source 2,Data Source 3,Data Source 4,Data Source 5
Cabbage,Moderate,Low,Steve Solomon,,,,
Swiss Chard,Moderate,Low,Steve Solomon,,,,
Carrots,Moderate,Low,Steve Solomon,,,,
Spinach,Moderate,Low,Steve Solomon,,,,
Leeks,Moderate,Low,Steve Solomon,,,,
Beets,Moderate,Low,Steve Solomon,,,,
Broccoli,Moderate,Low,Steve Solomon,,,,
Parsley,Moderate,Low,Steve Solomon,,,,
Celery,Moderate,Low,Steve Solomon,,,,
Sorrel (Narrow-Leaf Dock),Moderate,Low,Steve Solomon,,,,
Arugula,Moderate,Low,Steve Solomon,,,,
Cauliflower,Moderate,Low,Steve Solomon,,,,
Brussels Sprouts,Moderate,Low,Steve Solomon,,,,
Kale,Moderate,Low,Steve Solomon,,,,
Winter Squash ,Moderate,Low,Steve Solomon,,,,
Pumpkins,Moderate,Low,Steve Solomon,,,,
Onion,Moderate,Low,Steve Solomon,,,,
Potatoes,Moderate,Low,Steve Solomon,,,,
Tomatoes,Moderate,Low,Steve Solomon,,,,
Garlic,Moderate,Low,Steve Solomon,,,,
Lettuce (Various),Moderate,Low,Steve Solomon,,,,
Corn,Moderate,Low,Steve Solomon,,,,
Green Beans (Pole / Bush),Moderate,Low,Steve Solomon,,,,
Sweet Potatoes,Moderate,Low,Steve Solomon,,,,
Cucumbers,Moderate,Low,Steve Solomon,,,,
Melons,Moderate,Low,Steve Solomon,,,,
Summer Squash,Moderate,Low,Steve Solomon,,,,
Eggplants,Moderate,Low,Steve Solomon,,,,
Bell Peppers,Moderate,Low,Steve Solomon,,,,
Radishes,Moderate,Low,Steve Solomon,,,,
Fava Bean,Moderate,Low,Steve Solomon,,,,
Peas,Moderate,Low,Steve Solomon,,,,
Asparagus,Moderate,Low,Steve Solomon,,,,
Pea Shoots,Moderate,Low,Steve Solomon,,,,
Kale Raab,Moderate,Low,Steve Solomon,,,,
Arugula Raab,Moderate,Low,Steve Solomon,,,,
Watercress,Moderate,Low,Steve Solomon,,,,
Parsnips,Moderate,Low,Steve Solomon,,,,
Turnips,Moderate,Low,Steve Solomon,,,,
Nettles,Moderate,Low,Steve Solomon,,,,
