vegetable,month,segment,value,unit,status
Kale Raab,Jan,1,0,,none
Kale Raab,Jan,2,0,,none
Kale Raab,Jan,3,0,,none
Kale Raab,Feb,1,0,,none
Kale Raab,Feb,2,2.5,bunch,early
Kale Raab,Feb,3,2.5,bunch,early
Kale Raab,Mar,1,2.5,bunch,peak
Kale Raab,Mar,2,2.5,bunch,peak
Kale Raab,Mar,3,2.5,bunch,peak
Kale Raab,Apr,1,2.5,bunch,peak
Kale Raab,Apr,2,2.5,bunch,late
Kale Raab,Apr,3,2.5,bunch,late
Kale Raab,May,1,0,,none
Kale Raab,May,2,0,,none
Kale Raab,May,3,0,,none
Kale Raab,June,1,0,,none
Kale Raab,June,2,0,,none
Kale Raab,June,3,0,,none
Kale Raab,July,1,0,,none
Kale Raab,July,2,0,,none
Kale Raab,July,3,0,,none
Kale Raab,Aug,1,0,,none
Kale Raab,Aug,2,0,,none
Kale Raab,Aug,3,0,,none
Kale Raab,Sep,1,0,,none
Kale Raab,Sep,2,0,,none
Kale Raab,Sep,3,0,,none
Kale Raab,Oct,1,0,,none
Kale Raab,Oct,2,0,,none
Kale Raab,Oct,3,0,,none
Kale Raab,Nov,1,0,,none
Kale Raab,Nov,2,0,,none
Kale Raab,Nov,3,0,,none
Kale Raab,Dec,1,0,,none
Kale Raab,Dec,2,0,,none
Kale Raab,Dec,3,0,,none
