vegetable,month,segment,value,unit,status
Kale,Jan,1,1.99,bunch,peak
Kale,Jan,2,1.99,bunch,peak
Kale,Jan,3,1.99,bunch,peak
Kale,Feb,1,1.99,bunch,peak
Kale,Feb,2,1.99,bunch,peak
Kale,Feb,3,1.99,bunch,peak
Kale,Mar,1,1.99,bunch,peak
Kale,Mar,2,1.99,bunch,late
Kale,Mar,3,1.99,bunch,late
Kale,Apr,1,1.99,bunch,late
Kale,Apr,2,1.99,bunch,late
Kale,Apr,3,1.99,bunch,late
Kale,May,1,1.99,bunch,late
Kale,May,2,1.99,bunch,late
Kale,May,3,1.99,bunch,late
Kale,June,1,1.99,bunch,late
Kale,June,2,1.99,bunch,late
Kale,June,3,1.99,bunch,early
Kale,July,1,1.99,bunch,early
Kale,July,2,1.99,bunch,early
Kale,July,3,1.99,bunch,early
Kale,Aug,1,1.99,bunch,early
Kale,Aug,2,1.99,bunch,early
Kale,Aug,3,1.99,bunch,early
Kale,Sep,1,1.99,bunch,early
Kale,Sep,2,1.99,bunch,early
Kale,Sep,3,1.99,bunch,early
Kale,Oct,1,1.99,bunch,peak
Kale,Oct,2,1.99,bunch,peak
Kale,Oct,3,1.99,bunch,peak
Kale,Nov,1,1.99,bunch,peak
Kale,Nov,2,1.99,bunch,peak
Kale,Nov,3,1.99,bunch,peak
Kale,Dec,1,1.99,bunch,peak
Kale,Dec,2,1.99,bunch,peak
Kale,Dec,3,1.99,bunch,peak
