vegetable,month,segment,value,unit,status
King Bolete,Jan,1,0,,none
King Bolete,Jan,2,0,,none
King Bolete,Jan,3,0,,none
King Bolete,Feb,1,0,,none
King Bolete,Feb,2,0,,none
King Bolete,Feb,3,0,,none
King Bolete,Mar,1,0,,none
King Bolete,Mar,2,0,,none
King Bolete,Mar,3,0,,none
King Bolete,Apr,1,0,,none
King Bolete,Apr,2,0,,none
King Bolete,Apr,3,0,,none
King Bolete,May,1,0,,none
King Bolete,May,2,0,,none
King Bolete,May,3,0,,none
King Bolete,June,1,50,lb,early
King Bolete,June,2,50,lb,early
King Bolete,June,3,50,lb,early
King Bolete,July,1,50,lb,early
King Bolete,July,2,50,lb,early
King Bolete,July,3,50,lb,early
King Bolete,Aug,1,44,lb,peak
King Bolete,Aug,2,44,lb,peak
King Bolete,Aug,3,44,lb,peak
King Bolete,Sep,1,40,lb,peak
King Bolete,Sep,2,40,lb,peak
King Bolete,Sep,3,44,lb,peak
King Bolete,Oct,1,35,lb,peak
King Bolete,Oct,2,35,lb,peak
King Bolete,Oct,3,35,lb,peak
King Bolete,Nov,1,40,lb,late
King Bolete,Nov,2,40,lb,late
King Bolete,Nov,3,40,lb,late
King Bolete,Dec,1,40,lb,late
King Bolete,Dec,2,40,lb,late
King Bolete,Dec,3,40,lb,late
