vegetable,month,segment,value,unit,status
Leeks,Jan,1,1.99,lb,peak
Leeks,Jan,2,1.99,lb,peak
Leeks,Jan,3,1.99,lb,peak
Leeks,Feb,1,1.99,lb,peak
Leeks,Feb,2,1.99,lb,peak
Leeks,Feb,3,1.99,lb,peak
Leeks,Mar,1,1.99,lb,peak
Leeks,Mar,2,1.99,lb,peak
Leeks,Mar,3,1.99,lb,peak
Leeks,Apr,1,1.99,lb,peak
Leeks,Apr,2,1.99,lb,peak
Leeks,Apr,3,1.99,lb,peak
Leeks,May,1,1.99,lb,peak
Leeks,May,2,1.99,lb,peak
Leeks,May,3,1.99,lb,peak
Leeks,June,1,1.99,lb,late
Leeks,June,2,1.99,lb,late
Leeks,June,3,1.99,lb,late
Leeks,July,1,1.99,lb,late
Leeks,July,2,0,,none
Leeks,July,3,0,,none
Leeks,Aug,1,0,,none
Leeks,Aug,2,0,,none
Leeks,Aug,3,0,,none
Leeks,Sep,1,0,,none
Leeks,Sep,2,0,,none
Leeks,Sep,3,0,,none
Leeks,Oct,1,1.99,lb,early
Leeks,Oct,2,1.99,lb,early
Leeks,Oct,3,1.99,lb,early
Leeks,Nov,1,1.99,lb,peak
Leeks,Nov,2,1.99,lb,peak
Leeks,Nov,3,1.99,lb,peak
Leeks,Dec,1,1.99,lb,peak
Leeks,Dec,2,1.99,lb,peak
Leeks,Dec,3,1.99,lb,peak
