vegetable,month,segment,value,unit,status
Lettuce,Jan,1,6.99,lb,off
Lettuce,Jan,2,6.99,lb,off
Lettuce,Jan,3,6.99,lb,off
Lettuce,Feb,1,6.99,lb,off
Lettuce,Feb,2,6.99,lb,off
Lettuce,Feb,3,6.99,lb,off
Lettuce,Mar,1,6.99,lb,off
Lettuce,Mar,2,6.99,lb,off
Lettuce,Mar,3,6.99,lb,off
Lettuce,Apr,1,6.99,lb,early
Lettuce,Apr,2,6.99,lb,early
Lettuce,Apr,3,6.99,lb,early
Lettuce,May,1,6.99,lb,peak
Lettuce,May,2,6.99,lb,peak
Lettuce,May,3,6.99,lb,peak
Lettuce,June,1,6.99,lb,peak
Lettuce,June,2,6.99,lb,peak
Lettuce,June,3,6.99,lb,peak
Lettuce,July,1,6.99,lb,peak
Lettuce,July,2,6.99,lb,peak
Lettuce,July,3,6.99,lb,peak
Lettuce,Aug,1,6.99,lb,peak
Lettuce,Aug,2,6.99,lb,peak
Lettuce,Aug,3,6.99,lb,peak
Lettuce,Sep,1,6.99,lb,peak
Lettuce,Sep,2,6.99,lb,peak
Lettuce,Sep,3,6.99,lb,peak
Lettuce,Oct,1,6.99,lb,peak
Lettuce,Oct,2,6.99,lb,peak
Lettuce,Oct,3,6.99,lb,peak
Lettuce,Nov,1,6.99,lb,late
Lettuce,Nov,2,6.99,lb,late
Lettuce,Nov,3,6.99,lb,late
Lettuce,Dec,1,6.99,lb,late
Lettuce,Dec,2,6.99,lb,late
Lettuce,Dec,3,6.99,lb,late
