vegetable,month,segment,value,unit,status
Melons,Jan,1,0,,none
Melons,Jan,2,0,,none
Melons,Jan,3,0,,none
Melons,Feb,1,0,,none
Melons,Feb,2,0,,none
Melons,Feb,3,0,,none
Melons,Mar,1,0,,none
Melons,Mar,2,0,,none
Melons,Mar,3,0,,none
Melons,Apr,1,0,,none
Melons,Apr,2,0,,none
Melons,Apr,3,0,,none
Melons,May,1,0,,none
Melons,May,2,0,,none
Melons,May,3,0,,none
Melons,June,1,0,,none
Melons,June,2,0,,none
Melons,June,3,0,,none
Melons,July,1,0,,none
Melons,July,2,0,,none
Melons,July,3,2,lb,early
Melons,Aug,1,2,lb,early
Melons,Aug,2,2,lb,early
Melons,Aug,3,1,lb,peak
Melons,Sep,1,1,lb,peak
Melons,Sep,2,1,lb,peak
Melons,Sep,3,1,lb,peak
Melons,Oct,1,1,lb,peak
Melons,Oct,2,1,lb,peak
Melons,Oct,3,0.5,lb,late
Melons,Nov,1,0.5,lb,late
Melons,Nov,2,0.5,lb,late
Melons,Nov,3,0,,none
Melons,Dec,1,0,,none
Melons,Dec,2,0,,none
Melons,Dec,3,0,,none
