vegetable,month,segment,value,unit,status
Morels,Jan,1,0,,none
Morels,Jan,2,0,,none
Morels,Jan,3,0,,none
Morels,Feb,1,0,,none
Morels,Feb,2,0,,none
Morels,Feb,3,0,,none
Morels,Mar,1,0,,none
Morels,Mar,2,0,,none
Morels,Mar,3,0,,none
Morels,Apr,1,50,lb,early
Morels,Apr,2,50,lb,early
Morels,Apr,3,50,lb,early
Morels,May,1,44,lb,peak
Morels,May,2,44,lb,peak
Morels,May,3,44,lb,peak
Morels,June,1,40,lb,peak
Morels,June,2,40,lb,peak
Morels,June,3,44,lb,late
Morels,July,1,44,lb,late
Morels,July,2,44,lb,late
Morels,July,3,0,,none
Morels,Aug,1,0,,none
Morels,Aug,2,0,,none
Morels,Aug,3,0,,none
Morels,Sep,1,0,,none
Morels,Sep,2,0,,none
Morels,Sep,3,0,,none
Morels,Oct,1,0,,none
Morels,Oct,2,0,,none
Morels,Oct,3,0,,none
Morels,Nov,1,0,,none
Morels,Nov,2,0,,none
Morels,Nov,3,0,,none
Morels,Dec,1,0,,none
Morels,Dec,2,0,,none
Morels,Dec,3,0,,none
