vegetable,month,segment,value,unit,status
Nettles,Jan,1,0,,none
Nettles,Jan,2,0,,none
Nettles,Jan,3,0,,none
Nettles,Feb,1,0,,none
Nettles,Feb,2,0,,none
Nettles,Feb,3,0,,none
Nettles,Mar,1,9.99,lb,early
Nettles,Mar,2,9.99,lb,early
Nettles,Mar,3,9.99,lb,early
Nettles,Apr,1,8.99,lb,peak
Nettles,Apr,2,8.99,lb,peak
Nettles,Apr,3,8.99,lb,peak
Nettles,May,1,8.99,lb,late
Nettles,May,2,8.99,lb,late
Nettles,May,3,0,,none
Nettles,June,1,0,,none
Nettles,June,2,0,,none
Nettles,June,3,0,,none
Nettles,July,1,0,,none
Nettles,July,2,0,,none
Nettles,July,3,0,,none
Nettles,Aug,1,0,,none
Nettles,Aug,2,0,,none
Nettles,Aug,3,0,,none
Nettles,Sep,1,0,,none
Nettles,Sep,2,0,,none
Nettles,Sep,3,0,,none
Nettles,Oct,1,0,,none
Nettles,Oct,2,0,,none
Nettles,Oct,3,0,,none
Nettles,Nov,1,0,,none
Nettles,Nov,2,0,,none
Nettles,Nov,3,0,,none
Nettles,Dec,1,0,,none
Nettles,Dec,2,0,,none
Nettles,Dec,3,0,,none
