vegetable,month,segment,value,unit,status
Onion,Jan,1,1.5,lb,off
Onion,Jan,2,1.5,lb,off
Onion,Jan,3,1.5,lb,off
Onion,Feb,1,1.5,lb,off
Onion,Feb,2,1.5,lb,off
Onion,Feb,3,1.5,lb,off
Onion,Mar,1,1.5,lb,off
Onion,Mar,2,1.5,lb,off
Onion,Mar,3,1.5,lb,off
Onion,Apr,1,2.5,lb,early
Onion,Apr,2,2.5,lb,early
Onion,Apr,3,2.5,lb,early
Onion,May,1,2,lb,peak
Onion,May,2,2,lb,peak
Onion,May,3,2,lb,peak
Onion,June,1,2,lb,peak
Onion,June,2,2,lb,peak
Onion,June,3,2,lb,peak
Onion,July,1,2,lb,late
Onion,July,2,2,lb,late
Onion,July,3,2,lb,late
Onion,Aug,1,2,lb,early
Onion,Aug,2,2,lb,early
Onion,Aug,3,2,lb,peak
Onion,Sep,1,2,lb,peak
Onion,Sep,2,2,lb,peak
Onion,Sep,3,2,lb,peak
Onion,Oct,1,2,lb,peak
Onion,Oct,2,2,lb,late
Onion,Oct,3,2,lb,late
Onion,Nov,1,2,lb,late
Onion,Nov,2,2.5,lb,off
Onion,Nov,3,2.5,lb,off
Onion,Dec,1,2.5,lb,off
Onion,Dec,2,2.5,lb,off
Onion,Dec,3,2.5,lb,off
