vegetable,month,segment,value,unit,status
Parsley,Jan,1,1.99,bunch,late
Parsley,Jan,2,1.99,bunch,late
Parsley,Jan,3,1.99,bunch,late
Parsley,Feb,1,0,,none
Parsley,Feb,2,0,,none
Parsley,Feb,3,0,,none
Parsley,Mar,1,0,,none
Parsley,Mar,2,0,,none
Parsley,Mar,3,0,,none
Parsley,Apr,1,1.99,bunch,early
Parsley,Apr,2,1.99,bunch,early
Parsley,Apr,3,1.99,bunch,early
Parsley,May,1,1.99,bunch,early
Parsley,May,2,1.99,bunch,peak
Parsley,May,3,1.99,bunch,peak
Parsley,June,1,1.99,bunch,peak
Parsley,June,2,1.99,bunch,peak
Parsley,June,3,1.99,bunch,peak
Parsley,July,1,1.99,bunch,peak
Parsley,July,2,1.99,bunch,peak
Parsley,July,3,1.99,bunch,peak
Parsley,Aug,1,1.99,bunch,peak
Parsley,Aug,2,1.99,bunch,peak
Parsley,Aug,3,1.99,bunch,peak
Parsley,Sep,1,1.99,bunch,peak
Parsley,Sep,2,1.99,bunch,peak
Parsley,Sep,3,1.99,bunch,peak
Parsley,Oct,1,1.99,bunch,peak
Parsley,Oct,2,1.99,bunch,peak
Parsley,Oct,3,1.99,bunch,peak
Parsley,Nov,1,1.99,bunch,peak
Parsley,Nov,2,1.99,bunch,peak
Parsley,Nov,3,1.99,bunch,peak
Parsley,Dec,1,1.99,bunch,peak
Parsley,Dec,2,1.99,bunch,peak
Parsley,Dec,3,1.99,bunch,peak
