vegetable,month,segment,value,unit,status
Parsnip,Jan,1,1.5,lb,peak
Parsnip,Jan,2,1.5,lb,peak
Parsnip,Jan,3,1.5,lb,peak
Parsnip,Feb,1,1.5,lb,peak
Parsnip,Feb,2,1.5,lb,peak
Parsnip,Feb,3,1.5,lb,peak
Parsnip,Mar,1,1.5,lb,late
Parsnip,Mar,2,1.5,lb,late
Parsnip,Mar,3,1.5,lb,late
Parsnip,Apr,1,0,,none
Parsnip,Apr,2,0,,none
Parsnip,Apr,3,0,,none
Parsnip,May,1,0,,none
Parsnip,May,2,0,,none
Parsnip,May,3,0,,none
Parsnip,June,1,0,,none
Parsnip,June,2,0,,none
Parsnip,June,3,0,,none
Parsnip,July,1,0,,none
Parsnip,July,2,0,,none
Parsnip,July,3,0,,none
Parsnip,Aug,1,0,,none
Parsnip,Aug,2,0,,none
Parsnip,Aug,3,0,,none
Parsnip,Sep,1,0,,none
Parsnip,Sep,2,0,,none
Parsnip,Sep,3,0,,none
Parsnip,Oct,1,0,,none
Parsnip,Oct,2,0,,none
Parsnip,Oct,3,1.5,lb,early
Parsnip,Nov,1,1.5,lb,early
Parsnip,Nov,2,1.5,lb,early
Parsnip,Nov,3,1.5,lb,peak
Parsnip,Dec,1,1.5,lb,peak
Parsnip,Dec,2,1.5,lb,peak
Parsnip,Dec,3,1.5,lb,peak
