vegetable,month,segment,value,unit,status
Pea Shoots,Jan,1,0,,none
Pea Shoots,Jan,2,0,,none
Pea Shoots,Jan,3,0,,none
Pea Shoots,Feb,1,0,,none
Pea Shoots,Feb,2,0,,none
Pea Shoots,Feb,3,0,,none
Pea Shoots,Mar,1,4,bunch,early
Pea Shoots,Mar,2,4,bunch,early
Pea Shoots,Mar,3,3.5,bunch,peak
Pea Shoots,Apr,1,3.5,bunch,peak
Pea Shoots,Apr,2,3.5,bunch,peak
Pea Shoots,Apr,3,3.5,bunch,peak
Pea Shoots,May,1,3.5,bunch,peak
Pea Shoots,May,2,3,bunch,late
Pea Shoots,May,3,3,bunch,late
Pea Shoots,June,1,3,bunch,late
Pea Shoots,June,2,0,,none
Pea Shoots,June,3,0,,none
Pea Shoots,July,1,0,,none
Pea Shoots,July,2,0,,none
Pea Shoots,July,3,0,,none
Pea Shoots,Aug,1,0,,none
Pea Shoots,Aug,2,0,,none
Pea Shoots,Aug,3,0,,none
Pea Shoots,Sep,1,0,,none
Pea Shoots,Sep,2,0,,none
Pea Shoots,Sep,3,0,,none
Pea Shoots,Oct,1,0,,none
Pea Shoots,Oct,2,0,,none
Pea Shoots,Oct,3,0,,none
Pea Shoots,Nov,1,0,,none
Pea Shoots,Nov,2,0,,none
Pea Shoots,Nov,3,0,,none
Pea Shoots,Dec,1,0,,none
Pea Shoots,Dec,2,0,,none
Pea Shoots,Dec,3,0,,none
