vegetable,month,segment,value,unit,status
Peas,Jan,1,0,,none
Peas,Jan,2,0,,none
Peas,Jan,3,0,,none
Peas,Feb,1,0,,none
Peas,Feb,2,0,,none
Peas,Feb,3,0,,none
Peas,Mar,1,0,,none
Peas,Mar,2,0,,none
Peas,Mar,3,0,,none
Peas,Apr,1,0,,none
Peas,Apr,2,0,,none
Peas,Apr,3,4.5,lb,early
Peas,May,1,4.5,lb,early
Peas,May,2,4.5,lb,early
Peas,May,3,3,lb,peak
Peas,June,1,3,lb,peak
Peas,June,2,3,lb,peak
Peas,June,3,2.5,lb,late
Peas,July,1,2.5,lb,late
Peas,July,2,2.5,lb,late
Peas,July,3,0,,none
Peas,Aug,1,0,,none
Peas,Aug,2,0,,none
Peas,Aug,3,0,,none
Peas,Sep,1,0,,none
Peas,Sep,2,0,,none
Peas,Sep,3,0,,none
Peas,Oct,1,0,,none
Peas,Oct,2,0,,none
Peas,Oct,3,0,,none
Peas,Nov,1,0,,none
Peas,Nov,2,0,,none
Peas,Nov,3,0,,none
Peas,Dec,1,0,,none
Peas,Dec,2,0,,none
Peas,Dec,3,0,,none
