vegetable,month,segment,value,unit,status
Potatoes,Jan,1,1.5,lb,off
Potatoes,Jan,2,1.5,lb,off
Potatoes,Jan,3,1.5,lb,off
Potatoes,Feb,1,1.5,lb,off
Potatoes,Feb,2,1.5,lb,off
Potatoes,Feb,3,1.5,lb,off
Potatoes,Mar,1,1.5,lb,off
Potatoes,Mar,2,1.5,lb,off
Potatoes,Mar,3,1.5,lb,off
Potatoes,Apr,1,0,,none
Potatoes,Apr,2,0,,none
Potatoes,Apr,3,0,,none
Potatoes,May,1,0,,none
Potatoes,May,2,0,,none
Potatoes,May,3,0,,none
Potatoes,June,1,0,,none
Potatoes,June,2,0,,none
Potatoes,June,3,0,,none
Potatoes,July,1,2,lb,early
Potatoes,July,2,2,lb,early
Potatoes,July,3,2,lb,early
Potatoes,Aug,1,1.5,lb,peak
Potatoes,Aug,2,1.5,lb,peak
Potatoes,Aug,3,1.5,lb,peak
Potatoes,Sep,1,1.5,lb,peak
Potatoes,Sep,2,1.5,lb,peak
Potatoes,Sep,3,1.5,lb,peak
Potatoes,Oct,1,1.5,lb,peak
Potatoes,Oct,2,1.5,lb,peak
Potatoes,Oct,3,1.5,lb,peak
Potatoes,Nov,1,2,lb,late
Potatoes,Nov,2,2,lb,late
Potatoes,Nov,3,2,lb,late
Potatoes,Dec,1,2,lb,late
Potatoes,Dec,2,2,lb,late
Potatoes,Dec,3,2,lb,late
