vegetable,month,segment,value,unit,status
Radish,Jan,1,1,bunch,peak
Radish,Jan,2,1,bunch,peak
Radish,Jan,3,1,bunch,late
Radish,Feb,1,1,bunch,late
Radish,Feb,2,1,bunch,late
Radish,Feb,3,1,bunch,late
Radish,Mar,1,1,bunch,late
Radish,Mar,2,1,bunch,early
Radish,Mar,3,1,bunch,early
Radish,Apr,1,1,bunch,early
Radish,Apr,2,1,bunch,early
Radish,Apr,3,1,bunch,early
Radish,May,1,1,bunch,peak
Radish,May,2,1,bunch,peak
Radish,May,3,1,bunch,peak
Radish,June,1,1,bunch,peak
Radish,June,2,1,bunch,peak
Radish,June,3,1,bunch,peak
Radish,July,1,1,bunch,peak
Radish,July,2,1,bunch,peak
Radish,July,3,1,bunch,peak
Radish,Aug,1,1,bunch,peak
Radish,Aug,2,1,bunch,peak
Radish,Aug,3,1,bunch,peak
Radish,Sep,1,1,bunch,peak
Radish,Sep,2,1,bunch,peak
Radish,Sep,3,1,bunch,peak
Radish,Oct,1,1,bunch,peak
Radish,Oct,2,1,bunch,peak
Radish,Oct,3,1,bunch,peak
Radish,Nov,1,1,bunch,peak
Radish,Nov,2,1,bunch,peak
Radish,Nov,3,1,bunch,peak
Radish,Dec,1,1,bunch,peak
Radish,Dec,2,1,bunch,peak
Radish,Dec,3,1,bunch,peak
