vegetable,month,segment,value,unit,status
Sorrel,Jan,1,1.99,bunch,late
Sorrel,Jan,2,1.99,bunch,late
Sorrel,Jan,3,1.99,bunch,late
Sorrel,Feb,1,0,,none
Sorrel,Feb,2,0,,none
Sorrel,Feb,3,0,,none
Sorrel,Mar,1,2.99,bunch,early
Sorrel,Mar,2,2.99,bunch,early
Sorrel,Mar,3,2.99,bunch,early
Sorrel,Apr,1,2.99,bunch,peak
Sorrel,Apr,2,2.99,bunch,peak
Sorrel,Apr,3,2.99,bunch,peak
Sorrel,May,1,2.99,bunch,peak
Sorrel,May,2,2.99,bunch,peak
Sorrel,May,3,1.99,bunch,late
Sorrel,June,1,1.99,bunch,late
Sorrel,June,2,1.99,bunch,late
Sorrel,June,3,0,,none
Sorrel,July,1,0,,none
Sorrel,July,2,0,,none
Sorrel,July,3,0,,none
Sorrel,Aug,1,0,,none
Sorrel,Aug,2,0,,none
Sorrel,Aug,3,0,,none
Sorrel,Sep,1,0,,none
Sorrel,Sep,2,0,,none
Sorrel,Sep,3,0,,none
Sorrel,Oct,1,1.99,bunch,early
Sorrel,Oct,2,1.99,bunch,early
Sorrel,Oct,3,1.99,bunch,early
Sorrel,Nov,1,1.99,bunch,peak
Sorrel,Nov,2,1.99,bunch,peak
Sorrel,Nov,3,1.99,bunch,peak
Sorrel,Dec,1,1.99,bunch,peak
Sorrel,Dec,2,1.99,bunch,peak
Sorrel,Dec,3,1.99,bunch,peak
