vegetable,month,segment,value,unit,status
Spinach,Jan,1,6.99,lb,late
Spinach,Jan,2,6.99,lb,late
Spinach,Jan,3,6.99,lb,late
Spinach,Feb,1,6.99,lb,late
Spinach,Feb,2,0,,none
Spinach,Feb,3,0,,none
Spinach,Mar,1,0,,none
Spinach,Mar,2,0,,none
Spinach,Mar,3,0,,none
Spinach,Apr,1,6.99,lb,early
Spinach,Apr,2,6.99,lb,early
Spinach,Apr,3,6.99,lb,early
Spinach,May,1,5.99,lb,peak
Spinach,May,2,5.99,lb,peak
Spinach,May,3,5.99,lb,peak
Spinach,June,1,5.99,lb,peak
Spinach,June,2,5.99,lb,peak
Spinach,June,3,5.99,lb,peak
Spinach,July,1,5.99,lb,peak
Spinach,July,2,0,,late
Spinach,July,3,0,,late
Spinach,Aug,1,0,,late
Spinach,Aug,2,0,,none
Spinach,Aug,3,0,,none
Spinach,Sep,1,0,,none
Spinach,Sep,2,0,,none
Spinach,Sep,3,0,,none
Spinach,Oct,1,6.99,lb,early
Spinach,Oct,2,6.99,lb,early
Spinach,Oct,3,6.99,lb,early
Spinach,Nov,1,5.99,lb,peak
Spinach,Nov,2,5.99,lb,peak
Spinach,Nov,3,5.99,lb,peak
Spinach,Dec,1,5.99,lb,peak
Spinach,Dec,2,5.99,lb,peak
Spinach,Dec,3,5.99,lb,peak
