vegetable,month,segment,value,unit,status
Summer Squash,Jan,1,0,,none
Summer Squash,Jan,2,0,,none
Summer Squash,Jan,3,0,,none
Summer Squash,Feb,1,0,,none
Summer Squash,Feb,2,0,,none
Summer Squash,Feb,3,0,,none
Summer Squash,Mar,1,0,,none
Summer Squash,Mar,2,0,,none
Summer Squash,Mar,3,0,,none
Summer Squash,Apr,1,0,,none
Summer Squash,Apr,2,0,,none
Summer Squash,Apr,3,0,,none
Summer Squash,May,1,0,,none
Summer Squash,May,2,0,,none
Summer Squash,May,3,0,,none
Summer Squash,June,1,3,lb,early
Summer Squash,June,2,3,lb,early
Summer Squash,June,3,3,lb,early
Summer Squash,July,1,2,lb,peak
Summer Squash,July,2,2,lb,peak
Summer Squash,July,3,2,lb,peak
Summer Squash,Aug,1,2,lb,peak
Summer Squash,Aug,2,2,lb,peak
Summer Squash,Aug,3,1.5,lb,peak
Summer Squash,Sep,1,1.5,lb,late
Summer Squash,Sep,2,1.5,lb,late
Summer Squash,Sep,3,1.5,lb,late
Summer Squash,Oct,1,0,,none
Summer Squash,Oct,2,0,,none
Summer Squash,Oct,3,0,,none
Summer Squash,Nov,1,0,,none
Summer Squash,Nov,2,0,,none
Summer Squash,Nov,3,0,,none
Summer Squash,Dec,1,0,,none
Summer Squash,Dec,2,0,,none
Summer Squash,Dec,3,0,,none
