vegetable,month,segment,value,unit,status
Sweet Potatoes,Jan,1,1.5,lb,off
Sweet Potatoes,Jan,2,1.5,lb,off
Sweet Potatoes,Jan,3,1.5,lb,off
Sweet Potatoes,Feb,1,1.5,lb,off
Sweet Potatoes,Feb,2,1.5,lb,off
Sweet Potatoes,Feb,3,1.5,lb,off
Sweet Potatoes,Mar,1,1.5,lb,off
Sweet Potatoes,Mar,2,1.5,lb,off
Sweet Potatoes,Mar,3,1.5,lb,off
Sweet Potatoes,Apr,1,0,,none
Sweet Potatoes,Apr,2,0,,none
Sweet Potatoes,Apr,3,0,,none
Sweet Potatoes,May,1,0,,none
Sweet Potatoes,May,2,0,,none
Sweet Potatoes,May,3,0,,none
Sweet Potatoes,June,1,0,,none
Sweet Potatoes,June,2,0,,none
Sweet Potatoes,June,3,0,,none
Sweet Potatoes,July,1,2,lb,early
Sweet Potatoes,July,2,2,lb,early
Sweet Potatoes,July,3,2,lb,early
Sweet Potatoes,Aug,1,1.5,lb,peak
Sweet Potatoes,Aug,2,1.5,lb,peak
Sweet Potatoes,Aug,3,1.5,lb,peak
Sweet Potatoes,Sep,1,1.5,lb,peak
Sweet Potatoes,Sep,2,1.5,lb,peak
Sweet Potatoes,Sep,3,1.5,lb,peak
Sweet Potatoes,Oct,1,1.5,lb,peak
Sweet Potatoes,Oct,2,1.5,lb,peak
Sweet Potatoes,Oct,3,1.5,lb,peak
Sweet Potatoes,Nov,1,2,lb,late
Sweet Potatoes,Nov,2,2,lb,late
Sweet Potatoes,Nov,3,2,lb,late
Sweet Potatoes,Dec,1,2,lb,late
Sweet Potatoes,Dec,2,2,lb,late
Sweet Potatoes,Dec,3,2,lb,late
