vegetable,month,segment,value,unit,status
Swiss Chard,Jan,1,1.5,bunch,late
Swiss Chard,Jan,2,1.5,bunch,late
Swiss Chard,Jan,3,1.5,bunch,late
Swiss Chard,Feb,1,1.5,bunch,late
Swiss Chard,Feb,2,1.5,bunch,late
Swiss Chard,Feb,3,1.5,bunch,late
Swiss Chard,Mar,1,1.5,bunch,late
Swiss Chard,Mar,2,1.5,bunch,late
Swiss Chard,Mar,3,1.5,bunch,late
Swiss Chard,Apr,1,0,,none
Swiss Chard,Apr,2,0,,none
Swiss Chard,Apr,3,0,,none
Swiss Chard,May,1,0,,none
Swiss Chard,May,2,2,bunch,early
Swiss Chard,May,3,2,bunch,early
Swiss Chard,June,1,2,bunch,early
Swiss Chard,June,2,1.5,bunch,peak
Swiss Chard,June,3,1.5,bunch,peak
Swiss Chard,July,1,1.5,bunch,peak
Swiss Chard,July,2,1.5,bunch,peak
Swiss Chard,July,3,1.5,bunch,peak
Swiss Chard,Aug,1,1.5,bunch,late
Swiss Chard,Aug,2,1.5,bunch,late
Swiss Chard,Aug,3,1.5,bunch,late
Swiss Chard,Sep,1,1.5,bunch,late
Swiss Chard,Sep,2,1.5,bunch,early
Swiss Chard,Sep,3,1.5,bunch,early
Swiss Chard,Oct,1,1.5,bunch,early
Swiss Chard,Oct,2,1.5,bunch,peak
Swiss Chard,Oct,3,1.5,bunch,peak
Swiss Chard,Nov,1,1.5,bunch,peak
Swiss Chard,Nov,2,1.5,bunch,peak
Swiss Chard,Nov,3,1.5,bunch,peak
Swiss Chard,Dec,1,1.5,bunch,peak
Swiss Chard,Dec,2,1.5,bunch,peak
Swiss Chard,Dec,3,1.5,bunch,peak
