vegetable,month,segment,value,unit,status
Tomato,Jan,1,0,,none
Tomato,Jan,2,0,,none
Tomato,Jan,3,0,,none
Tomato,Feb,1,0,,none
Tomato,Feb,2,0,,none
Tomato,Feb,3,0,,none
Tomato,Mar,1,0,,none
Tomato,Mar,2,0,,none
Tomato,Mar,3,0,,none
Tomato,Apr,1,0,,none
Tomato,Apr,2,0,,none
Tomato,Apr,3,0,,none
Tomato,May,1,0,,none
Tomato,May,2,0,,none
Tomato,May,3,0,,none
Tomato,June,1,0,,none
Tomato,June,2,4,lb,early
Tomato,June,3,4,lb,early
Tomato,July,1,4,lb,early
Tomato,July,2,3,lb,peak
Tomato,July,3,3,lb,peak
Tomato,Aug,1,3,lb,peak
Tomato,Aug,2,3,lb,peak
Tomato,Aug,3,3,lb,peak
Tomato,Sep,1,2.5,lb,peak
Tomato,Sep,2,2.5,lb,peak
Tomato,Sep,3,2.5,lb,late
Tomato,Oct,1,2.5,lb,late
Tomato,Oct,2,2.5,lb,late
Tomato,Oct,3,4,lb,late
Tomato,Nov,1,4,lb,late
Tomato,Nov,2,4.5,lb,late
Tomato,Nov,3,4.5,lb,late
Tomato,Dec,1,0,,none
Tomato,Dec,2,0,,none
Tomato,Dec,3,0,,none
