vegetable,month,segment,value,unit,status
Turnip,Jan,1,1.5,lb,peak
Turnip,Jan,2,1.5,lb,peak
Turnip,Jan,3,1.5,lb,peak
Turnip,Feb,1,1.5,lb,peak
Turnip,Feb,2,1.5,lb,peak
Turnip,Feb,3,1.5,lb,peak
Turnip,Mar,1,1.5,lb,late
Turnip,Mar,2,1.5,lb,late
Turnip,Mar,3,1.5,lb,late
Turnip,Apr,1,0,,none
Turnip,Apr,2,0,,none
Turnip,Apr,3,0,,none
Turnip,May,1,0,,none
Turnip,May,2,0,,none
Turnip,May,3,0,,none
Turnip,June,1,0,,none
Turnip,June,2,0,,none
Turnip,June,3,0,,none
Turnip,July,1,0,,none
Turnip,July,2,0,,none
Turnip,July,3,0,,none
Turnip,Aug,1,0,,none
Turnip,Aug,2,0,,none
Turnip,Aug,3,0,,none
Turnip,Sep,1,0,,none
Turnip,Sep,2,0,,none
Turnip,Sep,3,0,,none
Turnip,Oct,1,0,,none
Turnip,Oct,2,0,,none
Turnip,Oct,3,1.5,lb,early
Turnip,Nov,1,1.5,lb,early
Turnip,Nov,2,1.5,lb,early
Turnip,Nov,3,1.5,lb,peak
Turnip,Dec,1,1.5,lb,peak
Turnip,Dec,2,1.5,lb,peak
Turnip,Dec,3,1.5,lb,peak
