vegetable,month,segment,value,unit,status
Winter Squash,Jan,1,3.99,lb,late
Winter Squash,Jan,2,3.99,lb,late
Winter Squash,Jan,3,3.99,lb,late
Winter Squash,Feb,1,0,,none
Winter Squash,Feb,2,0,,none
Winter Squash,Feb,3,0,,none
Winter Squash,Mar,1,0,,none
Winter Squash,Mar,2,0,,none
Winter Squash,Mar,3,0,,none
Winter Squash,Apr,1,0,,none
Winter Squash,Apr,2,0,,none
Winter Squash,Apr,3,0,,none
Winter Squash,May,1,0,,none
Winter Squash,May,2,0,,none
Winter Squash,May,3,0,,none
Winter Squash,June,1,0,,none
Winter Squash,June,2,0,,none
Winter Squash,June,3,0,,none
Winter Squash,July,1,0,,none
Winter Squash,July,2,0,,none
Winter Squash,July,3,0,,none
Winter Squash,Aug,1,0,,none
Winter Squash,Aug,2,0,,none
Winter Squash,Aug,3,0,,none
Winter Squash,Sep,1,5.99,lb,early
Winter Squash,Sep,2,5.99,lb,early
Winter Squash,Sep,3,5.99,lb,early
Winter Squash,Oct,1,4.99,lb,peak
Winter Squash,Oct,2,4.99,lb,peak
Winter Squash,Oct,3,4.99,lb,peak
Winter Squash,Nov,1,4.99,lb,peak
Winter Squash,Nov,2,4.99,lb,peak
Winter Squash,Nov,3,4.99,lb,peak
Winter Squash,Dec,1,4.99,lb,peak
Winter Squash,Dec,2,3.99,lb,peak
Winter Squash,Dec,3,3.99,lb,peak
