vegetable,month,segment,value,unit,status
,Jan,1,0,lb / bunch / each,none
,Jan,2,0,,none
,Jan,3,0,,none
,Feb,1,0,,none
,Feb,2,0,,none
,Feb,3,0,,none
,Mar,1,0,,none
,Mar,2,0,,none
,Mar,3,0,,none
,Apr,1,0,,none
,Apr,2,0,,none
,Apr,3,0,,none
,May,1,0,,none
,May,2,0,,none
,May,3,0,,none
,June,1,0,,none
,June,2,0,,none
,June,3,0,,none
,July,1,0,,none
,July,2,0,,none
,July,3,0,,none
,Aug,1,0,,none
,Aug,2,0,,none
,Aug,3,0,,none
,Sep,1,0,,none
,Sep,2,0,,none
,Sep,3,0,,none
,Oct,1,0,,none
,Oct,2,0,,none
,Oct,3,0,,none
,Nov,1,0,,none
,Nov,2,0,,none
,Nov,3,0,,none
,Dec,1,0,,none
,Dec,2,0,,none
,Dec,3,0,,none
