vegetable,month,segment,value,unit,status
arugula_raab,Jan,1,2.5,bunch,early
arugula_raab,Jan,2,2.5,bunch,early
arugula_raab,Jan,3,2.5,bunch,early
arugula_raab,Feb,1,2.5,bunch,peak
arugula_raab,Feb,2,2.5,bunch,peak
arugula_raab,Feb,3,2.5,bunch,peak
arugula_raab,Mar,1,2.5,bunch,late
arugula_raab,Mar,2,2.5,bunch,late
arugula_raab,Mar,3,2.5,bunch,late
arugula_raab,Apr,1,0,,none
arugula_raab,Apr,2,0,,none
arugula_raab,Apr,3,0,,none
arugula_raab,May,1,0,,none
arugula_raab,May,2,0,,none
arugula_raab,May,3,0,,none
arugula_raab,June,1,0,,none
arugula_raab,June,2,0,,none
arugula_raab,June,3,0,,none
arugula_raab,July,1,0,,none
arugula_raab,July,2,0,,none
arugula_raab,July,3,0,,none
arugula_raab,Aug,1,0,,none
arugula_raab,Aug,2,0,,none
arugula_raab,Aug,3,0,,none
arugula_raab,Sep,1,0,,none
arugula_raab,Sep,2,0,,none
arugula_raab,Sep,3,0,,none
arugula_raab,Oct,1,0,,none
arugula_raab,Oct,2,0,,none
arugula_raab,Oct,3,0,,none
arugula_raab,Nov,1,0,,none
arugula_raab,Nov,2,0,,none
arugula_raab,Nov,3,0,,none
arugula_raab,Dec,1,0,,none
arugula_raab,Dec,2,0,,none
arugula_raab,Dec,3,0,,none
