vegetable,month,segment,value,unit,status
arugula,Jan,1,3.99,lb,peak
arugula,Jan,2,3.99,lb,peak
arugula,Jan,3,3.99,lb,peak
arugula,Feb,1,3.99,lb,peak
arugula,Feb,2,4.99,lb,late
arugula,Feb,3,4.99,lb,late
arugula,Mar,1,4.99,lb,late
arugula,Mar,2,4.99,lb,late
arugula,Mar,3,4.99,lb,late
arugula,Apr,1,4.99,lb,late
arugula,Apr,2,4.99,lb,early
arugula,Apr,3,4.99,lb,early
arugula,May,1,3.99,lb,peak
arugula,May,2,3.99,lb,peak
arugula,May,3,3.99,lb,peak
arugula,June,1,4.99,lb,late
arugula,June,2,4.99,lb,late
arugula,June,3,4.99,lb,late
arugula,July,1,4.99,lb,late
arugula,July,2,0,,none
arugula,July,3,0,,none
arugula,Aug,1,0,,none
arugula,Aug,2,0,,none
arugula,Aug,3,0,,none
arugula,Sep,1,0,,none
arugula,Sep,2,0,,none
arugula,Sep,3,0,,none
arugula,Oct,1,4.99,lb,early
arugula,Oct,2,4.99,lb,early
arugula,Oct,3,4.99,lb,early
arugula,Nov,1,3.99,lb,peak
arugula,Nov,2,3.99,lb,peak
arugula,Nov,3,3.99,lb,peak
arugula,Dec,1,3.99,lb,peak
arugula,Dec,2,3.99,lb,peak
arugula,Dec,3,3.99,lb,peak
