vegetable,month,segment,value,unit,status
asparagus,Jan,1,0,,none
asparagus,Jan,2,0,,none
asparagus,Jan,3,0,,none
asparagus,Feb,1,0,,none
asparagus,Feb,2,0,,none
asparagus,Feb,3,0,,none
asparagus,Mar,1,0,,none
asparagus,Mar,2,0,,none
asparagus,Mar,3,0,,none
asparagus,Apr,1,6,bunch,early
asparagus,Apr,2,6,bunch,early
asparagus,Apr,3,6,bunch,early
asparagus,May,1,4.5,bunch,peak
asparagus,May,2,4.5,bunch,peak
asparagus,May,3,4.5,bunch,peak
asparagus,June,1,4,bunch,peak
asparagus,June,2,4,bunch,late
asparagus,June,3,4,bunch,late
asparagus,July,1,4,bunch,late
asparagus,July,2,0,,none
asparagus,July,3,0,,none
asparagus,Aug,1,0,,none
asparagus,Aug,2,0,,none
asparagus,Aug,3,0,,none
asparagus,Sep,1,0,,none
asparagus,Sep,2,0,,none
asparagus,Sep,3,0,,none
asparagus,Oct,1,0,,none
asparagus,Oct,2,0,,none
asparagus,Oct,3,0,,none
asparagus,Nov,1,0,,none
asparagus,Nov,2,0,,none
asparagus,Nov,3,0,,none
asparagus,Dec,1,0,,none
asparagus,Dec,2,0,,none
asparagus,Dec,3,0,,none
