vegetable,month,segment,value,unit,status
beet,Jan,1,4.99,bunch,peak
beet,Jan,2,4.99,bunch,peak
beet,Jan,3,4.99,bunch,peak
beet,Feb,1,4.99,bunch,late
beet,Feb,2,4.99,bunch,late
beet,Feb,3,4.99,bunch,late
beet,Mar,1,5.99,bunch,late
beet,Mar,2,5.99,bunch,late
beet,Mar,3,5.99,bunch,late
beet,Apr,1,6.99,bunch,early
beet,Apr,2,6.99,bunch,early
beet,Apr,3,6.99,bunch,early
beet,May,1,6.99,bunch,early
beet,May,2,4.99,bunch,peak
beet,May,3,4.99,bunch,peak
beet,June,1,4.99,bunch,peak
beet,June,2,4.99,bunch,peak
beet,June,3,4.99,bunch,peak
beet,July,1,4.99,bunch,peak
beet,July,2,4.99,bunch,peak
beet,July,3,4.99,bunch,peak
beet,Aug,1,4.99,bunch,late
beet,Aug,2,4.99,bunch,late
beet,Aug,3,4.99,bunch,late
beet,Sep,1,4.99,bunch,early
beet,Sep,2,4.99,bunch,early
beet,Sep,3,4.99,bunch,early
beet,Oct,1,4.99,bunch,early
beet,Oct,2,4.99,bunch,peak
beet,Oct,3,4.99,bunch,peak
beet,Nov,1,4.99,bunch,peak
beet,Nov,2,4.99,bunch,peak
beet,Nov,3,4.99,bunch,peak
beet,Dec,1,4.99,bunch,peak
beet,Dec,2,4.99,bunch,peak
beet,Dec,3,4.99,bunch,peak
