vegetable,month,segment,value,unit,status
bell_pepper,Jan,1,0,lb,none
bell_pepper,Jan,2,0,lb,none
bell_pepper,Jan,3,0,lb,none
bell_pepper,Feb,1,0,lb,none
bell_pepper,Feb,2,0,lb,none
bell_pepper,Feb,3,0,lb,none
bell_pepper,Mar,1,0,lb,none
bell_pepper,Mar,2,0,lb,none
bell_pepper,Mar,3,0,lb,none
bell_pepper,Apr,1,0,lb,none
bell_pepper,Apr,2,0,lb,none
bell_pepper,Apr,3,0,lb,none
bell_pepper,May,1,0,lb,none
bell_pepper,May,2,0,lb,none
bell_pepper,May,3,0,lb,none
bell_pepper,June,1,0,lb,none
bell_pepper,June,2,6,lb,early
bell_pepper,June,3,6,lb,early
bell_pepper,July,1,6,lb,early
bell_pepper,July,2,4,lb,peak
bell_pepper,July,3,4,lb,peak
bell_pepper,Aug,1,4,lb,peak
bell_pepper,Aug,2,4,lb,peak
bell_pepper,Aug,3,4,lb,peak
bell_pepper,Sep,1,3.5,lb,peak
bell_pepper,Sep,2,3.5,lb,peak
bell_pepper,Sep,3,3.5,lb,late
bell_pepper,Oct,1,2.5,lb,late
bell_pepper,Oct,2,2.5,lb,late
bell_pepper,Oct,3,0,lb,none
bell_pepper,Nov,1,0,lb,none
bell_pepper,Nov,2,0,lb,none
bell_pepper,Nov,3,0,lb,none
bell_pepper,Dec,1,0,lb,none
bell_pepper,Dec,2,0,lb,none
bell_pepper,Dec,3,0,lb,none
