vegetable,month,segment,value,unit,status
broccoli,Jan,1,0,,none
broccoli,Jan,2,0,,none
broccoli,Jan,3,0,,none
broccoli,Feb,1,0,,none
broccoli,Feb,2,0,,none
broccoli,Feb,3,0,,none
broccoli,Mar,1,0,,none
broccoli,Mar,2,0,,none
broccoli,Mar,3,0,,none
broccoli,Apr,1,0,,none
broccoli,Apr,2,0,,none
broccoli,Apr,3,0,,none
broccoli,May,1,0,,none
broccoli,May,2,0,,none
broccoli,May,3,0,,none
broccoli,June,1,3.99,lb,early
broccoli,June,2,3.99,lb,early
broccoli,June,3,3.99,lb,early
broccoli,July,1,2.99,lb,peak
broccoli,July,2,2.99,lb,peak
broccoli,July,3,2.99,lb,peak
broccoli,Aug,1,2.99,lb,peak
broccoli,Aug,2,2.99,lb,peak
broccoli,Aug,3,2.99,lb,peak
broccoli,Sep,1,2.99,lb,peak
broccoli,Sep,2,2.99,lb,peak
broccoli,Sep,3,2.99,lb,peak
broccoli,Oct,1,2.99,lb,peak
broccoli,Oct,2,2.99,lb,late
broccoli,Oct,3,2.99,lb,late
broccoli,Nov,1,3.99,lb,late
broccoli,Nov,2,3.99,lb,late
broccoli,Nov,3,3.99,lb,late
broccoli,Dec,1,0,,none
broccoli,Dec,2,0,,none
broccoli,Dec,3,0,,none
