vegetable,month,segment,value,unit,status
brussels_sprout,Jan,1,5.99,lb,peak
brussels_sprout,Jan,2,5.99,lb,peak
brussels_sprout,Jan,3,5.99,lb,peak
brussels_sprout,Feb,1,5.99,lb,peak
brussels_sprout,Feb,2,5.99,lb,peak
brussels_sprout,Feb,3,0,,late
brussels_sprout,Mar,1,0,,late
brussels_sprout,Mar,2,0,,late
brussels_sprout,Mar,3,0,,late
brussels_sprout,Apr,1,0,,none
brussels_sprout,Apr,2,0,,none
brussels_sprout,Apr,3,0,,none
brussels_sprout,May,1,0,,none
brussels_sprout,May,2,0,,none
brussels_sprout,May,3,0,,none
brussels_sprout,June,1,0,,none
brussels_sprout,June,2,0,,none
brussels_sprout,June,3,0,,none
brussels_sprout,July,1,0,,none
brussels_sprout,July,2,0,,none
brussels_sprout,July,3,0,,none
brussels_sprout,Aug,1,0,,none
brussels_sprout,Aug,2,0,,none
brussels_sprout,Aug,3,0,,none
brussels_sprout,Sep,1,4.99,lb,early
brussels_sprout,Sep,2,4.99,lb,early
brussels_sprout,Sep,3,4.99,lb,early
brussels_sprout,Oct,1,5.99,lb,peak
brussels_sprout,Oct,2,5.99,lb,peak
brussels_sprout,Oct,3,5.99,lb,peak
brussels_sprout,Nov,1,5.99,lb,peak
brussels_sprout,Nov,2,5.99,lb,peak
brussels_sprout,Nov,3,5.99,lb,peak
brussels_sprout,Dec,1,5.99,lb,peak
brussels_sprout,Dec,2,5.99,lb,peak
brussels_sprout,Dec,3,5.99,lb,peak
