vegetable,month,segment,value,unit,status
cababage,Jan,1,1.99,lb,peak
cababage,Jan,2,1.99,lb,peak
cababage,Jan,3,1.99,lb,peak
cababage,Feb,1,1.99,lb,peak
cababage,Feb,2,1.99,lb,peak
cababage,Feb,3,1.99,lb,peak
cababage,Mar,1,1.99,lb,peak
cababage,Mar,2,1.99,lb,peak
cababage,Mar,3,1.99,lb,peak
cababage,Apr,1,1.99,lb,peak
cababage,Apr,2,1.99,lb,peak
cababage,Apr,3,1.99,lb,peak
cababage,May,1,1.99,lb,peak
cababage,May,2,1.99,lb,peak
cababage,May,3,1.99,lb,peak
cababage,June,1,1.99,lb,peak
cababage,June,2,1.99,lb,peak
cababage,June,3,1.99,lb,peak
cababage,July,1,1.99,lb,late
cababage,July,2,1.99,lb,late
cababage,July,3,1.99,lb,late
cababage,Aug,1,1.99,lb,late
cababage,Aug,2,1.99,lb,late
cababage,Aug,3,1.99,lb,early
cababage,Sep,1,1.99,lb,early
cababage,Sep,2,1.99,lb,early
cababage,Sep,3,1.99,lb,early
cababage,Oct,1,1.99,lb,peak
cababage,Oct,2,1.99,lb,peak
cababage,Oct,3,1.99,lb,peak
cababage,Nov,1,1.99,lb,peak
cababage,Nov,2,1.99,lb,peak
cababage,Nov,3,1.99,lb,peak
cababage,Dec,1,1.99,lb,peak
cababage,Dec,2,1.99,lb,peak
cababage,Dec,3,1.99,lb,peak
