vegetable,month,segment,value,unit,status
carrot,Jan,1,4.99,bunch,peak
carrot,Jan,2,4.99,bunch,peak
carrot,Jan,3,4.99,bunch,peak
carrot,Feb,1,4.99,bunch,late
carrot,Feb,2,4.99,bunch,late
carrot,Feb,3,4.99,bunch,late
carrot,Mar,1,5.99,bunch,late
carrot,Mar,2,5.99,bunch,late
carrot,Mar,3,5.99,bunch,late
carrot,Apr,1,6.99,bunch,early
carrot,Apr,2,6.99,bunch,early
carrot,Apr,3,6.99,bunch,early
carrot,May,1,6.99,bunch,early
carrot,May,2,4.99,bunch,peak
carrot,May,3,4.99,bunch,peak
carrot,June,1,4.99,bunch,peak
carrot,June,2,4.99,bunch,peak
carrot,June,3,4.99,bunch,peak
carrot,July,1,4.99,bunch,peak
carrot,July,2,4.99,bunch,peak
carrot,July,3,4.99,bunch,peak
carrot,Aug,1,4.99,bunch,late
carrot,Aug,2,4.99,bunch,late
carrot,Aug,3,4.99,bunch,late
carrot,Sep,1,4.99,bunch,early
carrot,Sep,2,4.99,bunch,early
carrot,Sep,3,4.99,bunch,early
carrot,Oct,1,4.99,bunch,early
carrot,Oct,2,4.99,bunch,peak
carrot,Oct,3,4.99,bunch,peak
carrot,Nov,1,4.99,bunch,peak
carrot,Nov,2,4.99,bunch,peak
carrot,Nov,3,4.99,bunch,peak
carrot,Dec,1,4.99,bunch,peak
carrot,Dec,2,4.99,bunch,peak
carrot,Dec,3,4.99,bunch,peak
