vegetable,month,segment,value,unit,status
cauliflower,Jan,1,3.99,lb,late
cauliflower,Jan,2,3.99,lb,late
cauliflower,Jan,3,3.99,lb,late
cauliflower,Feb,1,3.99,lb,late
cauliflower,Feb,2,3.99,lb,late
cauliflower,Feb,3,3.99,lb,late
cauliflower,Mar,1,0,,none
cauliflower,Mar,2,0,,none
cauliflower,Mar,3,0,,none
cauliflower,Apr,1,0,,none
cauliflower,Apr,2,0,,none
cauliflower,Apr,3,0,,none
cauliflower,May,1,0,,none
cauliflower,May,2,0,,none
cauliflower,May,3,0,,none
cauliflower,June,1,0,,none
cauliflower,June,2,0,,none
cauliflower,June,3,0,,none
cauliflower,July,1,0,,none
cauliflower,July,2,0,,none
cauliflower,July,3,0,,none
cauliflower,Aug,1,0,,none
cauliflower,Aug,2,0,,none
cauliflower,Aug,3,0,,none
cauliflower,Sep,1,3.99,lb,early
cauliflower,Sep,2,3.99,lb,early
cauliflower,Sep,3,3.99,lb,early
cauliflower,Oct,1,4.99,lb,peak
cauliflower,Oct,2,4.99,lb,peak
cauliflower,Oct,3,4.99,lb,peak
cauliflower,Nov,1,4.99,lb,peak
cauliflower,Nov,2,4.99,lb,peak
cauliflower,Nov,3,4.99,lb,peak
cauliflower,Dec,1,4.99,lb,peak
cauliflower,Dec,2,4.99,lb,peak
cauliflower,Dec,3,4.99,lb,peak
