vegetable,month,segment,value,unit,status
celery,Jan,1,1.99,bunch,late
celery,Jan,2,1.99,bunch,late
celery,Jan,3,1.99,bunch,late
celery,Feb,1,0,,none
celery,Feb,2,0,,none
celery,Feb,3,0,,none
celery,Mar,1,0,,none
celery,Mar,2,0,,none
celery,Mar,3,0,,none
celery,Apr,1,1.99,bunch,early
celery,Apr,2,1.99,bunch,early
celery,Apr,3,1.99,bunch,early
celery,May,1,1.99,bunch,early
celery,May,2,1.99,bunch,peak
celery,May,3,1.99,bunch,peak
celery,June,1,1.99,bunch,peak
celery,June,2,1.99,bunch,peak
celery,June,3,1.99,bunch,peak
celery,July,1,1.99,bunch,peak
celery,July,2,1.99,bunch,peak
celery,July,3,1.99,bunch,peak
celery,Aug,1,1.99,bunch,peak
celery,Aug,2,1.99,bunch,peak
celery,Aug,3,1.99,bunch,peak
celery,Sep,1,1.99,bunch,peak
celery,Sep,2,1.99,bunch,peak
celery,Sep,3,1.99,bunch,peak
celery,Oct,1,1.99,bunch,peak
celery,Oct,2,1.99,bunch,peak
celery,Oct,3,1.99,bunch,peak
celery,Nov,1,1.99,bunch,peak
celery,Nov,2,1.99,bunch,peak
celery,Nov,3,1.99,bunch,peak
celery,Dec,1,1.99,bunch,peak
celery,Dec,2,1.99,bunch,peak
celery,Dec,3,1.99,bunch,peak
