vegetable,month,segment,value,unit,status
chanterelle,Jan,1,0,,none
chanterelle,Jan,2,0,,none
chanterelle,Jan,3,0,,none
chanterelle,Feb,1,0,,none
chanterelle,Feb,2,0,,none
chanterelle,Feb,3,0,,none
chanterelle,Mar,1,0,,none
chanterelle,Mar,2,0,,none
chanterelle,Mar,3,0,,none
chanterelle,Apr,1,0,,none
chanterelle,Apr,2,0,,none
chanterelle,Apr,3,0,,none
chanterelle,May,1,0,,none
chanterelle,May,2,0,,none
chanterelle,May,3,0,,none
chanterelle,June,1,0,,none
chanterelle,June,2,0,,none
chanterelle,June,3,0,,none
chanterelle,July,1,0,,none
chanterelle,July,2,0,,none
chanterelle,July,3,0,,none
chanterelle,Aug,1,22,lb,early
chanterelle,Aug,2,22,lb,early
chanterelle,Aug,3,22,lb,early
chanterelle,Sep,1,16,lb,peak
chanterelle,Sep,2,16,lb,peak
chanterelle,Sep,3,16,lb,peak
chanterelle,Oct,1,16,lb,peak
chanterelle,Oct,2,16,lb,peak
chanterelle,Oct,3,14,lb,peak
chanterelle,Nov,1,14,lb,peak
chanterelle,Nov,2,14,lb,late
chanterelle,Nov,3,14,lb,late
chanterelle,Dec,1,16,lb,late
chanterelle,Dec,2,16,lb,late
chanterelle,Dec,3,16,lb,late
