vegetable,month,segment,value,unit,status
corn,Jan,1,0,,none
corn,Jan,2,0,,none
corn,Jan,3,0,,none
corn,Feb,1,0,,none
corn,Feb,2,0,,none
corn,Feb,3,0,,none
corn,Mar,1,0,,none
corn,Mar,2,0,,none
corn,Mar,3,0,,none
corn,Apr,1,0,,none
corn,Apr,2,0,,none
corn,Apr,3,0,,none
corn,May,1,0,,none
corn,May,2,0,,none
corn,May,3,0,,none
corn,June,1,0,,none
corn,June,2,0,,none
corn,June,3,0,,none
corn,July,1,3.5,lb,early
corn,July,2,3.5,lb,early
corn,July,3,3.5,lb,early
corn,Aug,1,3,lb,peak
corn,Aug,2,3,lb,peak
corn,Aug,3,3,lb,peak
corn,Sep,1,3,lb,peak
corn,Sep,2,3,lb,peak
corn,Sep,3,3,lb,peak
corn,Oct,1,3,lb,peak
corn,Oct,2,3,lb,peak
corn,Oct,3,3,lb,peak
corn,Nov,1,2.5,lb,late
corn,Nov,2,2.5,lb,late
corn,Nov,3,0,,none
corn,Dec,1,0,,none
corn,Dec,2,0,,none
corn,Dec,3,0,,none
