vegetable,month,segment,value,unit,status
cucumber,Jan,1,0,,none
cucumber,Jan,2,0,,none
cucumber,Jan,3,0,,none
cucumber,Feb,1,0,,none
cucumber,Feb,2,0,,none
cucumber,Feb,3,0,,none
cucumber,Mar,1,0,,none
cucumber,Mar,2,0,,none
cucumber,Mar,3,0,,none
cucumber,Apr,1,0,,none
cucumber,Apr,2,0,,none
cucumber,Apr,3,0,,none
cucumber,May,1,0,,none
cucumber,May,2,0,,none
cucumber,May,3,0,,none
cucumber,June,1,0,,none
cucumber,June,2,0,,none
cucumber,June,3,0,,none
cucumber,July,1,0,,none
cucumber,July,2,0,,none
cucumber,July,3,2,lb,early
cucumber,Aug,1,2,lb,early
cucumber,Aug,2,2,lb,early
cucumber,Aug,3,1,lb,peak
cucumber,Sep,1,1,lb,peak
cucumber,Sep,2,1,lb,peak
cucumber,Sep,3,1,lb,peak
cucumber,Oct,1,1,lb,peak
cucumber,Oct,2,1,lb,peak
cucumber,Oct,3,0.5,lb,late
cucumber,Nov,1,0.5,lb,late
cucumber,Nov,2,0.5,lb,late
cucumber,Nov,3,0,,none
cucumber,Dec,1,0,,none
cucumber,Dec,2,0,,none
cucumber,Dec,3,0,,none
