vegetable,month,segment,value,unit,status
eggplant,Jan,1,0,,none
eggplant,Jan,2,0,,none
eggplant,Jan,3,0,,none
eggplant,Feb,1,0,,none
eggplant,Feb,2,0,,none
eggplant,Feb,3,0,,none
eggplant,Mar,1,0,,none
eggplant,Mar,2,0,,none
eggplant,Mar,3,0,,none
eggplant,Apr,1,0,,none
eggplant,Apr,2,0,,none
eggplant,Apr,3,0,,none
eggplant,May,1,0,,none
eggplant,May,2,0,,none
eggplant,May,3,0,,none
eggplant,June,1,0,,none
eggplant,June,2,6,lb,early
eggplant,June,3,6,lb,early
eggplant,July,1,6,lb,early
eggplant,July,2,4,lb,peak
eggplant,July,3,4,lb,peak
eggplant,Aug,1,4,lb,peak
eggplant,Aug,2,4,lb,peak
eggplant,Aug,3,4,lb,peak
eggplant,Sep,1,3.5,lb,peak
eggplant,Sep,2,3.5,lb,peak
eggplant,Sep,3,3.5,lb,late
eggplant,Oct,1,2.5,lb,late
eggplant,Oct,2,2.5,lb,late
eggplant,Oct,3,0,,late
eggplant,Nov,1,0,,late
eggplant,Nov,2,0,,late
eggplant,Nov,3,0,,late
eggplant,Dec,1,0,,none
eggplant,Dec,2,0,,none
eggplant,Dec,3,0,,none
