vegetable,month,segment,value,unit,status
fava_bean,Jan,1,0,,none
fava_bean,Jan,2,0,,none
fava_bean,Jan,3,0,,none
fava_bean,Feb,1,0,,none
fava_bean,Feb,2,0,,none
fava_bean,Feb,3,0,,none
fava_bean,Mar,1,0,,none
fava_bean,Mar,2,0,,none
fava_bean,Mar,3,0,,none
fava_bean,Apr,1,5,lb,early
fava_bean,Apr,2,5,lb,early
fava_bean,Apr,3,5,lb,early
fava_bean,May,1,4,lb,peak
fava_bean,May,2,4,lb,peak
fava_bean,May,3,4,lb,peak
fava_bean,June,1,4,lb,peak
fava_bean,June,2,4,lb,peak
fava_bean,June,3,3.5,lb,late
fava_bean,July,1,3.5,lb,late
fava_bean,July,2,3.5,lb,late
fava_bean,July,3,0,,none
fava_bean,Aug,1,0,,none
fava_bean,Aug,2,0,,none
fava_bean,Aug,3,0,,none
fava_bean,Sep,1,0,,none
fava_bean,Sep,2,0,,none
fava_bean,Sep,3,0,,none
fava_bean,Oct,1,0,,none
fava_bean,Oct,2,0,,none
fava_bean,Oct,3,0,,none
fava_bean,Nov,1,0,,none
fava_bean,Nov,2,0,,none
fava_bean,Nov,3,0,,none
fava_bean,Dec,1,0,,none
fava_bean,Dec,2,0,,none
fava_bean,Dec,3,0,,none
