vegetable,month,segment,value,unit,status
garlic,Jan,1,6.99,lb,off
garlic,Jan,2,6.99,lb,off
garlic,Jan,3,6.99,lb,off
garlic,Feb,1,6.99,lb,off
garlic,Feb,2,6.99,lb,off
garlic,Feb,3,6.99,lb,off
garlic,Mar,1,6.99,lb,off
garlic,Mar,2,6.99,lb,off
garlic,Mar,3,6.99,lb,off
garlic,Apr,1,6.99,lb,off
garlic,Apr,2,6.99,lb,off
garlic,Apr,3,6.99,lb,off
garlic,May,1,6.99,lb,off
garlic,May,2,8.99,lb,early
garlic,May,3,8.99,lb,early
garlic,June,1,8.99,lb,early
garlic,June,2,7.99,lb,peak
garlic,June,3,7.99,lb,peak
garlic,July,1,7.99,lb,peak
garlic,July,2,7.99,lb,late
garlic,July,3,7.99,lb,late
garlic,Aug,1,7.99,lb,late
garlic,Aug,2,6.99,lb,off
garlic,Aug,3,6.99,lb,off
garlic,Sep,1,6.99,lb,off
garlic,Sep,2,6.99,lb,off
garlic,Sep,3,6.99,lb,off
garlic,Oct,1,6.99,lb,off
garlic,Oct,2,6.99,lb,off
garlic,Oct,3,6.99,lb,off
garlic,Nov,1,6.99,lb,off
garlic,Nov,2,6.99,lb,off
garlic,Nov,3,6.99,lb,off
garlic,Dec,1,6.99,lb,off
garlic,Dec,2,6.99,lb,off
garlic,Dec,3,6.99,lb,off
