vegetable,month,segment,value,unit,status
green_bean,Jan,1,0,,none
green_bean,Jan,2,0,,none
green_bean,Jan,3,0,,none
green_bean,Feb,1,0,,none
green_bean,Feb,2,0,,none
green_bean,Feb,3,0,,none
green_bean,Mar,1,0,,none
green_bean,Mar,2,0,,none
green_bean,Mar,3,0,,none
green_bean,Apr,1,0,,none
green_bean,Apr,2,0,,none
green_bean,Apr,3,0,,none
green_bean,May,1,0,,none
green_bean,May,2,0,,none
green_bean,May,3,0,,none
green_bean,June,1,0,,none
green_bean,June,2,3,lb,early
green_bean,June,3,3,lb,early
green_bean,July,1,3,lb,early
green_bean,July,2,2,lb,peak
green_bean,July,3,2,lb,peak
green_bean,Aug,1,2,lb,peak
green_bean,Aug,2,2,lb,peak
green_bean,Aug,3,2,lb,peak
green_bean,Sep,1,2,lb,peak
green_bean,Sep,2,2,lb,peak
green_bean,Sep,3,2,lb,peak
green_bean,Oct,1,2,lb,peak
green_bean,Oct,2,2,lb,peak
green_bean,Oct,3,1.5,lb,late
green_bean,Nov,1,1.5,lb,late
green_bean,Nov,2,1.5,lb,late
green_bean,Nov,3,0,,none
green_bean,Dec,1,0,,none
green_bean,Dec,2,0,,none
green_bean,Dec,3,0,,none
