vegetable,month,segment,value,unit,status
kale_raab,Jan,1,0,,none
kale_raab,Jan,2,0,,none
kale_raab,Jan,3,0,,none
kale_raab,Feb,1,0,,none
kale_raab,Feb,2,2.5,bunch,early
kale_raab,Feb,3,2.5,bunch,early
kale_raab,Mar,1,2.5,bunch,peak
kale_raab,Mar,2,2.5,bunch,peak
kale_raab,Mar,3,2.5,bunch,peak
kale_raab,Apr,1,2.5,bunch,peak
kale_raab,Apr,2,2.5,bunch,late
kale_raab,Apr,3,2.5,bunch,late
kale_raab,May,1,0,,none
kale_raab,May,2,0,,none
kale_raab,May,3,0,,none
kale_raab,June,1,0,,none
kale_raab,June,2,0,,none
kale_raab,June,3,0,,none
kale_raab,July,1,0,,none
kale_raab,July,2,0,,none
kale_raab,July,3,0,,none
kale_raab,Aug,1,0,,none
kale_raab,Aug,2,0,,none
kale_raab,Aug,3,0,,none
kale_raab,Sep,1,0,,none
kale_raab,Sep,2,0,,none
kale_raab,Sep,3,0,,none
kale_raab,Oct,1,0,,none
kale_raab,Oct,2,0,,none
kale_raab,Oct,3,0,,none
kale_raab,Nov,1,0,,none
kale_raab,Nov,2,0,,none
kale_raab,Nov,3,0,,none
kale_raab,Dec,1,0,,none
kale_raab,Dec,2,0,,none
kale_raab,Dec,3,0,,none
