vegetable,month,segment,value,unit,status
kale,Jan,1,1.99,bunch,peak
kale,Jan,2,1.99,bunch,peak
kale,Jan,3,1.99,bunch,peak
kale,Feb,1,1.99,bunch,peak
kale,Feb,2,1.99,bunch,peak
kale,Feb,3,1.99,bunch,peak
kale,Mar,1,1.99,bunch,peak
kale,Mar,2,1.99,bunch,late
kale,Mar,3,1.99,bunch,late
kale,Apr,1,1.99,bunch,late
kale,Apr,2,1.99,bunch,late
kale,Apr,3,1.99,bunch,late
kale,May,1,1.99,bunch,late
kale,May,2,1.99,bunch,late
kale,May,3,1.99,bunch,late
kale,June,1,1.99,bunch,late
kale,June,2,1.99,bunch,late
kale,June,3,1.99,bunch,early
kale,July,1,1.99,bunch,early
kale,July,2,1.99,bunch,early
kale,July,3,1.99,bunch,early
kale,Aug,1,1.99,bunch,early
kale,Aug,2,1.99,bunch,early
kale,Aug,3,1.99,bunch,early
kale,Sep,1,1.99,bunch,early
kale,Sep,2,1.99,bunch,early
kale,Sep,3,1.99,bunch,early
kale,Oct,1,1.99,bunch,peak
kale,Oct,2,1.99,bunch,peak
kale,Oct,3,1.99,bunch,peak
kale,Nov,1,1.99,bunch,peak
kale,Nov,2,1.99,bunch,peak
kale,Nov,3,1.99,bunch,peak
kale,Dec,1,1.99,bunch,peak
kale,Dec,2,1.99,bunch,peak
kale,Dec,3,1.99,bunch,peak
