vegetable,month,segment,value,unit,status
king_bolete,Jan,1,0,,none
king_bolete,Jan,2,0,,none
king_bolete,Jan,3,0,,none
king_bolete,Feb,1,0,,none
king_bolete,Feb,2,0,,none
king_bolete,Feb,3,0,,none
king_bolete,Mar,1,0,,none
king_bolete,Mar,2,0,,none
king_bolete,Mar,3,0,,none
king_bolete,Apr,1,0,,none
king_bolete,Apr,2,0,,none
king_bolete,Apr,3,0,,none
king_bolete,May,1,0,,none
king_bolete,May,2,0,,none
king_bolete,May,3,0,,none
king_bolete,June,1,50,lb,early
king_bolete,June,2,50,lb,early
king_bolete,June,3,50,lb,early
king_bolete,July,1,50,lb,early
king_bolete,July,2,50,lb,early
king_bolete,July,3,50,lb,early
king_bolete,Aug,1,44,lb,peak
king_bolete,Aug,2,44,lb,peak
king_bolete,Aug,3,44,lb,peak
king_bolete,Sep,1,40,lb,peak
king_bolete,Sep,2,40,lb,peak
king_bolete,Sep,3,44,lb,peak
king_bolete,Oct,1,35,lb,peak
king_bolete,Oct,2,35,lb,peak
king_bolete,Oct,3,35,lb,peak
king_bolete,Nov,1,40,lb,late
king_bolete,Nov,2,40,lb,late
king_bolete,Nov,3,40,lb,late
king_bolete,Dec,1,40,lb,late
king_bolete,Dec,2,40,lb,late
king_bolete,Dec,3,40,lb,late
